id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,13164,2,13103,59,5327,5,3762,1560,1508,197,316,24,971,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,14099,198,13889,12,3405,150,3177,78,1935,23,1731,77,104,
3173061005,3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,596,6,589,1,84,5,73,6,53,4,43,4,2,
3174071006,3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,23,0,23,0,18,1,17,0,16,0,16,0,0,
3173051001,3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,758,4,753,1,75,5,67,3,79,1,50,7,21,
3172061001,3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,603,1,601,1,179,1,176,2,45,0,32,7,6,
3173021003,3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,330,0,330,0,46,3,41,2,94,4,65,2,23,
3175071001,3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,336,4,332,0,64,2,60,2,61,2,40,7,12,
3173061001,3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,1065,4,1059,2,96,2,91,3,57,4,41,4,8,
3174051002,3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,511,5,506,0,64,6,56,2,51,4,33,9,5,
3175071004,3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,311,4,307,0,34,1,33,0,68,3,54,4,7,
3174061001,3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,561,1,560,0,81,2,75,4,41,5,24,3,9,
3173081004,3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,206,2,204,0,52,0,50,2,45,0,33,3,9,
