tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-07-04,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Tahapan 3,Dosis 1,3154
2021-07-04,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,Tahapan 3,Dosis 1,3042
2021-07-04,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Tahapan 3,Dosis 1,3925
2021-07-04,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Tahapan 3,Dosis 1,3674
2021-07-04,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Tahapan 3,Dosis 1,3276
2021-07-04,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,Tahapan 3,Dosis 1,2423
2021-07-04,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,Tahapan 3,Dosis 1,960
2021-07-04,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,Tahapan 3,Dosis 1,2653
2021-07-04,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,Tahapan 3,Dosis 1,4129
2021-07-04,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,Tahapan 3,Dosis 1,350
2021-07-04,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,Tahapan 3,Dosis 1,390
2021-07-04,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,Tahapan 3,Dosis 1,589
2021-07-04,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Tahapan 3,Dosis 1,3005
2021-07-04,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Tahapan 3,Dosis 1,2876
2021-07-04,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Tahapan 3,Dosis 1,3043
2021-07-04,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Tahapan 3,Dosis 1,6411
2021-07-04,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Tahapan 3,Dosis 1,1282
2021-07-04,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Tahapan 3,Dosis 1,5122
2021-07-04,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Tahapan 3,Dosis 1,4086
2021-07-04,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Tahapan 3,Dosis 1,2719
2021-07-04,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Tahapan 3,Dosis 1,3654
2021-07-04,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Tahapan 3,Dosis 1,2083
2021-07-04,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Tahapan 3,Dosis 1,1258
2021-07-04,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Tahapan 3,Dosis 1,4333
2021-07-04,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Tahapan 3,Dosis 1,2546
2021-07-04,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Tahapan 3,Dosis 1,1176
2021-07-04,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Tahapan 3,Dosis 1,3607
2021-07-04,3171041002,JAKARTA PUSAT,SENEN,KENARI,Tahapan 3,Dosis 1,1507
2021-07-04,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,Tahapan 3,Dosis 1,3707
2021-07-04,3171041005,JAKARTA PUSAT,SENEN,KWITANG,Tahapan 3,Dosis 1,2495
2021-07-04,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Tahapan 3,Dosis 1,4302
2021-07-04,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,Tahapan 3,Dosis 1,2400
2021-07-04,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Tahapan 3,Dosis 1,2322
2021-07-04,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,Tahapan 3,Dosis 1,3274
2021-07-04,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Tahapan 3,Dosis 1,2636
2021-07-04,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Tahapan 3,Dosis 1,2936
2021-07-04,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Tahapan 3,Dosis 1,1912
2021-07-04,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Tahapan 3,Dosis 1,2316
2021-07-04,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Tahapan 3,Dosis 1,2885
