tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-06-20,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PELAYAN PUBLIK,DOSIS 1,4103
2021-06-20,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,PELAYAN PUBLIK,DOSIS 1,3152
2021-06-20,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,PELAYAN PUBLIK,DOSIS 1,4962
2021-06-20,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,PELAYAN PUBLIK,DOSIS 1,5356
2021-06-20,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,PELAYAN PUBLIK,DOSIS 1,4319
2021-06-20,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,PELAYAN PUBLIK,DOSIS 1,3109
2021-06-20,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,PELAYAN PUBLIK,DOSIS 1,1402
2021-06-20,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,PELAYAN PUBLIK,DOSIS 1,3026
2021-06-20,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,PELAYAN PUBLIK,DOSIS 1,3781
2021-06-20,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,PELAYAN PUBLIK,DOSIS 1,627
2021-06-20,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,PELAYAN PUBLIK,DOSIS 1,540
2021-06-20,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,PELAYAN PUBLIK,DOSIS 1,1000
2021-06-20,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,PELAYAN PUBLIK,DOSIS 1,3214
2021-06-20,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,PELAYAN PUBLIK,DOSIS 1,3707
2021-06-20,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,PELAYAN PUBLIK,DOSIS 1,3562
2021-06-20,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,PELAYAN PUBLIK,DOSIS 1,7574
2021-06-20,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,PELAYAN PUBLIK,DOSIS 1,1491
2021-06-20,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,PELAYAN PUBLIK,DOSIS 1,4966
2021-06-20,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,PELAYAN PUBLIK,DOSIS 1,4174
2021-06-20,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PELAYAN PUBLIK,DOSIS 1,2977
2021-06-20,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,PELAYAN PUBLIK,DOSIS 1,3788
2021-06-20,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PELAYAN PUBLIK,DOSIS 1,2712
2021-06-20,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,PELAYAN PUBLIK,DOSIS 1,1463
2021-06-20,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,PELAYAN PUBLIK,DOSIS 1,4840
2021-06-20,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PELAYAN PUBLIK,DOSIS 1,3730
