tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-07-01,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,TENAGA KESEHATAN,Dosis 1,250
2021-07-01,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,TENAGA KESEHATAN,Dosis 1,133
2021-07-01,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,TENAGA KESEHATAN,Dosis 1,272
2021-07-01,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,TENAGA KESEHATAN,Dosis 1,334
2021-07-01,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,TENAGA KESEHATAN,Dosis 1,350
2021-07-01,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,TENAGA KESEHATAN,Dosis 1,161
2021-07-01,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,TENAGA KESEHATAN,Dosis 1,112
2021-07-01,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,TENAGA KESEHATAN,Dosis 1,87
2021-07-01,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,TENAGA KESEHATAN,Dosis 1,104
2021-07-01,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,TENAGA KESEHATAN,Dosis 1,16
2021-07-01,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,TENAGA KESEHATAN,Dosis 1,37
2021-07-01,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,TENAGA KESEHATAN,Dosis 1,115
2021-07-01,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,TENAGA KESEHATAN,Dosis 1,123
2021-07-01,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,TENAGA KESEHATAN,Dosis 1,94
2021-07-01,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,TENAGA KESEHATAN,Dosis 1,181
