nama_rumah_sakit,alamat,kota_madya,kelurahan,kecamatan
RSUD Tarakan,JL. KYAI CARINGIN NO.7,JAKARTA PUSAT,CIDENG,GAMBIR
RSUD KOJA,JL. DELI NO.4  ,JAKARTA UTARA,KOJA,KOJA
RSKD DUREN SAWIT,JL. DUREN SAWIT BARU NO.2,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT
RS PERTAMINA JAYA,JL. AHMAD YANI NO.2  BY PASS,JAKARTA PUSAT,CEMPAKA PUTIH TIMUR,CEMPAKA PUTIH
RS PELNI,JL. AIPDA K.S TUBUN NO. 92-94,JAKARTA BARAT,SLIPI,PALMERAH
RSUPN DR. CIPTO MANGUNKUSUMO,JL. DIPONEGORO NO. 71,JAKARTA PUSAT,KENARI,SENEN
RS JANTUNG DAN PEMBULUH DARAH HARAPAN KITA,JL. LETJEN S. PARMAN KV. 87  SLIPI,JAKARTA BARAT,KOTA BAMBU UTARA,PALMERAH
RS ANAK DAN BUNDA HARAPAN KITA,JL. LETJEN S. PARMAN KV. 87  SLIPI,JAKARTA BARAT,KOTA BAMBU UTARA,PALMERAH
RS KHUSUS KANKER DHARMAIS,JL. LETJEN S. PARMAN KV. 84-86  SLIPI,JAKARTA BARAT,KOTA BAMBU UTARA,PALMERAH
RS KHUSUS PUSAT OTAK NASIONAL,JL. M.T. HARYONO KAVLING 11,JAKARTA TIMUR,CAWANG,KERAMAT JATI
RSUD BUDI ASIH,JL. DEWI SARTIKA CAWANG III NO. 200,JAKARTA TIMUR,CAWANG,KERAMAT JATI
RSUD PASAR REBO,JALAN LETJEN T.B SIMATUPANG NO. 30,JAKARTA TIMUR,GEDONG,PASAR REBO
RSUD TUGU KOJA ,JALAN WALANG PERMAI NO. 39  ,JAKARTA UTARA,TUGU UTARA,KOJA
RSUD TANAH ABANG,JALAN K.H MAS MANSYUR NO. 30,JAKARTA PUSAT,KEBON KACANG,TANAH ABANG
RSUD KALIDERES ,JALAN SATU MARET NO. 48 RT001/04,JAKARTA BARAT,PEGADUNGAN,KALIDERES
RSUD KEBAYORAN BARU,JALAN H. ABDUL MAJID NO. 1 RT002/RW05,JAKARTA SELATAN,CIPETE UTARA,KEBAYORAN BARU
