id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_ber_phbs,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,621665,RUMAH TANGGA,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,311134,RUMAH TANGGA,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,238823,RUMAH TANGGA,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,132408,RUMAH TANGGA,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,308623,RUMAH TANGGA,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,99272,RUMAH TANGGA,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,97796,RUMAH TANGGA,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,183353,RUMAH TANGGA,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,215259,RUMAH TANGGA,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,138306,RUMAH TANGGA,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,186934,RUMAH TANGGA,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,57663,RUMAH TANGGA,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,140248,RUMAH TANGGA,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,160460,RUMAH TANGGA,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,308853,RUMAH TANGGA,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,556418,RUMAH TANGGA,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,26559,RUMAH TANGGA,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,47470,RUMAH TANGGA,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,117188,RUMAH TANGGA,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,31821,RUMAH TANGGA,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,286274,RUMAH TANGGA,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,40796,RUMAH TANGGA,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,103964,RUMAH TANGGA,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,325936,RUMAH TANGGA,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,57904,RUMAH TANGGA,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,83876,RUMAH TANGGA,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,42895,RUMAH TANGGA,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,590603,RUMAH TANGGA,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,322339,RUMAH TANGGA,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,325951,RUMAH TANGGA,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,169886,RUMAH TANGGA,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,348450,RUMAH TANGGA,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,131205,RUMAH TANGGA,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,107240,RUMAH TANGGA,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,229101,RUMAH TANGGA,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,252985,RUMAH TANGGA,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,148275,RUMAH TANGGA,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,232843,RUMAH TANGGA,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,49741,RUMAH TANGGA,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,158841,RUMAH TANGGA,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,168236,RUMAH TANGGA,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,323116,RUMAH TANGGA,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,572635,RUMAH TANGGA,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,137766,RUMAH TANGGA,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,113791,RUMAH TANGGA,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,125767,RUMAH TANGGA,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,31852,RUMAH TANGGA,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,212765,RUMAH TANGGA,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,45650,RUMAH TANGGA,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,60283,RUMAH TANGGA,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,335852,RUMAH TANGGA,2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,57904,RUMAH TANGGA,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,66086,RUMAH TANGGA,2017
54,32,JAWA BARAT,3279,KOTA BANJAR,44260,RUMAH TANGGA,2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,590603,RUMAH TANGGA,2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,322339,RUMAH TANGGA,2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,325951,RUMAH TANGGA,2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,169886,RUMAH TANGGA,2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,348450,RUMAH TANGGA,2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,131205,RUMAH TANGGA,2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,107240,RUMAH TANGGA,2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,229101,RUMAH TANGGA,2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,252985,RUMAH TANGGA,2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,148275,RUMAH TANGGA,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,232843,RUMAH TANGGA,2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,49741,RUMAH TANGGA,2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,158841,RUMAH TANGGA,2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,168236,RUMAH TANGGA,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,323116,RUMAH TANGGA,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,572635,RUMAH TANGGA,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,137766,RUMAH TANGGA,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,113791,RUMAH TANGGA,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,125767,RUMAH TANGGA,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,31852,RUMAH TANGGA,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,212765,RUMAH TANGGA,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,45650,RUMAH TANGGA,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,60283,RUMAH TANGGA,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,335852,RUMAH TANGGA,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,57904,RUMAH TANGGA,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,66086,RUMAH TANGGA,2018
