id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sektor,status_higiene_sanitasi,jumlah_tpm,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,843,UNIT,2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,718,UNIT,2018
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,JASA BOGA,MEMENUHI SYARAT,609,UNIT,2018
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,JASA BOGA,TIDAK MEMENUHI SYARAT,208,UNIT,2018
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,MAKANAN JAJANAN,MEMENUHI SYARAT,323,UNIT,2018
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,1522,UNIT,2018
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,736,UNIT,2018
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,696,UNIT,2018
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,461,UNIT,2018
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,376,UNIT,2018
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,JASA BOGA,MEMENUHI SYARAT,277,UNIT,2018
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,JASA BOGA,TIDAK MEMENUHI SYARAT,204,UNIT,2018
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MAKANAN JAJANAN,MEMENUHI SYARAT,2569,UNIT,2018
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,3527,UNIT,2018
15,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,527,UNIT,2018
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,569,UNIT,2018
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,415,UNIT,2018
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,348,UNIT,2018
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,JASA BOGA,MEMENUHI SYARAT,319,UNIT,2018
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,JASA BOGA,TIDAK MEMENUHI SYARAT,426,UNIT,2018
21,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MAKANAN JAJANAN,MEMENUHI SYARAT,824,UNIT,2018
22,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,506,UNIT,2018
23,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,629,UNIT,2018
24,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,539,UNIT,2018
25,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,595,UNIT,2018
26,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,451,UNIT,2018
27,32,JAWA BARAT,3204,KABUPATEN BANDUNG,JASA BOGA,MEMENUHI SYARAT,270,UNIT,2018
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,JASA BOGA,TIDAK MEMENUHI SYARAT,75,UNIT,2018
29,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MAKANAN JAJANAN,MEMENUHI SYARAT,3374,UNIT,2018
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,3306,UNIT,2018
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,359,UNIT,2018
32,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,234,UNIT,2018
33,32,JAWA BARAT,3205,KABUPATEN GARUT,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,338,UNIT,2018
34,32,JAWA BARAT,3205,KABUPATEN GARUT,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,96,UNIT,2018
35,32,JAWA BARAT,3205,KABUPATEN GARUT,JASA BOGA,MEMENUHI SYARAT,19,UNIT,2018
36,32,JAWA BARAT,3205,KABUPATEN GARUT,JASA BOGA,TIDAK MEMENUHI SYARAT,1,UNIT,2018
37,32,JAWA BARAT,3205,KABUPATEN GARUT,MAKANAN JAJANAN,MEMENUHI SYARAT,521,UNIT,2018
38,32,JAWA BARAT,3205,KABUPATEN GARUT,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,579,UNIT,2018
39,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,219,UNIT,2018
40,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,50,UNIT,2018
41,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,301,UNIT,2018
42,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,92,UNIT,2018
43,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,JASA BOGA,MEMENUHI SYARAT,166,UNIT,2018
44,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,JASA BOGA,TIDAK MEMENUHI SYARAT,146,UNIT,2018
45,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MAKANAN JAJANAN,MEMENUHI SYARAT,4703,UNIT,2018
46,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,3704,UNIT,2018
47,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,453,UNIT,2018
48,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,350,UNIT,2018
49,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,229,UNIT,2018
50,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,73,UNIT,2018
51,32,JAWA BARAT,3207,KABUPATEN CIAMIS,JASA BOGA,MEMENUHI SYARAT,71,UNIT,2018
52,32,JAWA BARAT,3207,KABUPATEN CIAMIS,JASA BOGA,TIDAK MEMENUHI SYARAT,94,UNIT,2018
53,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MAKANAN JAJANAN,MEMENUHI SYARAT,1670,UNIT,2018
54,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,891,UNIT,2018
55,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,332,UNIT,2018
56,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,130,UNIT,2018
57,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,236,UNIT,2018
58,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,39,UNIT,2018
59,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,JASA BOGA,MEMENUHI SYARAT,11,UNIT,2018
60,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,JASA BOGA,TIDAK MEMENUHI SYARAT,1,UNIT,2018
61,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MAKANAN JAJANAN,MEMENUHI SYARAT,1159,UNIT,2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,387,UNIT,2018
63,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,40,UNIT,2018
64,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,7,UNIT,2018
65,32,JAWA BARAT,3209,KABUPATEN CIREBON,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,738,UNIT,2018
66,32,JAWA BARAT,3209,KABUPATEN CIREBON,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,71,UNIT,2018
67,32,JAWA BARAT,3209,KABUPATEN CIREBON,JASA BOGA,MEMENUHI SYARAT,53,UNIT,2018
68,32,JAWA BARAT,3209,KABUPATEN CIREBON,JASA BOGA,TIDAK MEMENUHI SYARAT,8,UNIT,2018
69,32,JAWA BARAT,3209,KABUPATEN CIREBON,MAKANAN JAJANAN,MEMENUHI SYARAT,3735,UNIT,2018
70,32,JAWA BARAT,3209,KABUPATEN CIREBON,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,214,UNIT,2018
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,303,UNIT,2018
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,44,UNIT,2018
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,483,UNIT,2018
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,183,UNIT,2018
75,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,JASA BOGA,MEMENUHI SYARAT,137,UNIT,2018
76,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,JASA BOGA,TIDAK MEMENUHI SYARAT,86,UNIT,2018
77,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MAKANAN JAJANAN,MEMENUHI SYARAT,979,UNIT,2018
78,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,473,UNIT,2018
79,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,229,UNIT,2018
80,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,121,UNIT,2018
81,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,400,UNIT,2018
82,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,336,UNIT,2018
83,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,JASA BOGA,MEMENUHI SYARAT,173,UNIT,2018
84,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,JASA BOGA,TIDAK MEMENUHI SYARAT,35,UNIT,2018
85,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MAKANAN JAJANAN,MEMENUHI SYARAT,2231,UNIT,2018
86,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,1982,UNIT,2018
87,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,480,UNIT,2018
88,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,246,UNIT,2018
89,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,428,UNIT,2018
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,538,UNIT,2018
91,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,JASA BOGA,MEMENUHI SYARAT,76,UNIT,2018
92,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,JASA BOGA,TIDAK MEMENUHI SYARAT,32,UNIT,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MAKANAN JAJANAN,MEMENUHI SYARAT,1918,UNIT,2018
94,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,4099,UNIT,2018
95,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,148,UNIT,2018
96,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,218,UNIT,2018
97,32,JAWA BARAT,3213,KABUPATEN SUBANG,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,219,UNIT,2018
98,32,JAWA BARAT,3213,KABUPATEN SUBANG,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,122,UNIT,2018
99,32,JAWA BARAT,3213,KABUPATEN SUBANG,JASA BOGA,MEMENUHI SYARAT,61,UNIT,2018
100,32,JAWA BARAT,3213,KABUPATEN SUBANG,JASA BOGA,TIDAK MEMENUHI SYARAT,28,UNIT,2018
101,32,JAWA BARAT,3213,KABUPATEN SUBANG,MAKANAN JAJANAN,MEMENUHI SYARAT,791,UNIT,2018
102,32,JAWA BARAT,3213,KABUPATEN SUBANG,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,624,UNIT,2018
103,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,129,UNIT,2018
104,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,61,UNIT,2018
105,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,213,UNIT,2018
106,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,154,UNIT,2018
107,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,JASA BOGA,MEMENUHI SYARAT,84,UNIT,2018
108,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,JASA BOGA,TIDAK MEMENUHI SYARAT,26,UNIT,2018
109,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MAKANAN JAJANAN,MEMENUHI SYARAT,869,UNIT,2018
110,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,1000,UNIT,2018
111,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,285,UNIT,2018
112,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,245,UNIT,2018
113,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,366,UNIT,2018
114,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,583,UNIT,2018
115,32,JAWA BARAT,3215,KABUPATEN KARAWANG,JASA BOGA,MEMENUHI SYARAT,146,UNIT,2018
116,32,JAWA BARAT,3215,KABUPATEN KARAWANG,JASA BOGA,TIDAK MEMENUHI SYARAT,56,UNIT,2018
117,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MAKANAN JAJANAN,MEMENUHI SYARAT,289,UNIT,2018
