id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tempat_umum,jumlah_tempat_umum,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,SD,733,UNIT,2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMP,317,UNIT,2018
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMA,97,UNIT,2018
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,PUSKESMAS,101,UNIT,2018
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT UMUM,23,UNIT,2018
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,HOTEL BINTANG,45,UNIT,2018
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,HOTEL NON-BINTANG,132,UNIT,2018
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SD,920,UNIT,2018
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMP,290,UNIT,2018
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMA,190,UNIT,2018
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PUSKESMAS,58,UNIT,2018
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT UMUM,7,UNIT,2018
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HOTEL BINTANG,7,UNIT,2018
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HOTEL NON-BINTANG,57,UNIT,2018
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SD,906,UNIT,2018
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMP,207,UNIT,2018
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMA,144,UNIT,2018
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PUSKESMAS,110,UNIT,2018
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT UMUM,5,UNIT,2018
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HOTEL BINTANG,29,UNIT,2018
