id,kode_provinsi,nama_provinsi,nama_rumah_sakit,kategori_kunjungan,jumlah_kunjungan,satuan,tahun
1,32,JAWA BARAT,RS PARU DR. M. GOENAWAN PARTOWIDIGDO,RAWAT JALAN,42072,ORANG,2019
2,32,JAWA BARAT,RS PARU DR. M. GOENAWAN PARTOWIDIGDO,RAWAT INAP,4707,ORANG,2019
3,32,JAWA BARAT,RS PARU DR. M. GOENAWAN PARTOWIDIGDO,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
4,32,JAWA BARAT,RS UMUM DAERAH CIBINONG,RAWAT JALAN,108211,ORANG,2019
5,32,JAWA BARAT,RS UMUM DAERAH CIBINONG,RAWAT INAP,25123,ORANG,2019
6,32,JAWA BARAT,RS UMUM DAERAH CIBINONG,KUNJUNGAN GANGGUAN JIWA,7619,ORANG,2019
7,32,JAWA BARAT,RS UMUM DAERAH CIAWI,RAWAT JALAN,174597,ORANG,2019
8,32,JAWA BARAT,RS UMUM DAERAH CIAWI,RAWAT INAP,17983,ORANG,2019
9,32,JAWA BARAT,RS UMUM DAERAH CIAWI,KUNJUNGAN GANGGUAN JIWA,4479,ORANG,2019
10,32,JAWA BARAT,RS UMUM BINA HUSADA,RAWAT JALAN,0,ORANG,2019
11,32,JAWA BARAT,RS UMUM BINA HUSADA,RAWAT INAP,0,ORANG,2019
12,32,JAWA BARAT,RS UMUM BINA HUSADA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
13,32,JAWA BARAT,RS IBU DAN ANAK CITRA INSANI,RAWAT JALAN,29433,ORANG,2019
14,32,JAWA BARAT,RS IBU DAN ANAK CITRA INSANI,RAWAT INAP,5823,ORANG,2019
15,32,JAWA BARAT,RS IBU DAN ANAK CITRA INSANI,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
16,32,JAWA BARAT,RS UMUM MARY CILEUNGSI HIJAU,RAWAT JALAN,58352,ORANG,2019
17,32,JAWA BARAT,RS UMUM MARY CILEUNGSI HIJAU,RAWAT INAP,11879,ORANG,2019
18,32,JAWA BARAT,RS UMUM MARY CILEUNGSI HIJAU,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
19,32,JAWA BARAT,RS UMUM MH. THAMRIN,RAWAT JALAN,13529,ORANG,2019
20,32,JAWA BARAT,RS UMUM MH. THAMRIN,RAWAT INAP,118633,ORANG,2019
21,32,JAWA BARAT,RS UMUM MH. THAMRIN,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
22,32,JAWA BARAT,RS UMUM DR MUHAMAD HASSAN TOTO,RAWAT JALAN,41921,ORANG,2019
23,32,JAWA BARAT,RS UMUM DR MUHAMAD HASSAN TOTO,RAWAT INAP,6165,ORANG,2019
24,32,JAWA BARAT,RS UMUM DR MUHAMAD HASSAN TOTO,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
25,32,JAWA BARAT,RS UMUM TRIMITRA,RAWAT JALAN,0,ORANG,2019
26,32,JAWA BARAT,RS UMUM TRIMITRA,RAWAT INAP,0,ORANG,2019
