id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabuapten_kota,jumlah_sarana,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,46419.0,UNIT,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,69857.0,UNIT,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,,UNIT,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,38096.0,UNIT,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,,UNIT,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,21645.0,UNIT,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2010.0,UNIT,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,410.0,UNIT,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,12102.0,UNIT,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2659.0,UNIT,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2818.0,UNIT,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,561.0,UNIT,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,,UNIT,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3974.0,UNIT,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,40367.0,UNIT,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,39854.0,UNIT,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,33270.0,UNIT,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,325.0,UNIT,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,1704.0,UNIT,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,1413.0,UNIT,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,3422.0,UNIT,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,242.0,UNIT,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,54.0,UNIT,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,17516.0,UNIT,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,529.0,UNIT,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1720.0,UNIT,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,4611.0,UNIT,2019
