id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabuapten_kota,jumlah_sarana,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,311723.0,UNIT,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,109073.0,UNIT,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,171984.0,UNIT,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,94696.0,UNIT,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,,UNIT,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,52671.0,UNIT,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,244225.0,UNIT,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25136.0,UNIT,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,75492.0,UNIT,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,48428.0,UNIT,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,71367.0,UNIT,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10142.0,UNIT,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,,UNIT,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,18922.0,UNIT,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,82013.0,UNIT,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,116252.0,UNIT,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,67865.0,UNIT,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3959.0,UNIT,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,64141.0,UNIT,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,7699.0,UNIT,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,6112.0,UNIT,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,3255.0,UNIT,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,459793.0,UNIT,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,394355.0,UNIT,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,1551.0,UNIT,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,50916.0,UNIT,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,20689.0,UNIT,2019
