id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_rumah_sakit,jumlah_tempat_tidur,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS PARU DR. M. GOENAWAN PARTOWIDIGDO,177.0,TEMPAT TIDUR,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CIBINONG,349.0,TEMPAT TIDUR,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CIAWI,289.0,TEMPAT TIDUR,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM BINA HUSADA,,TEMPAT TIDUR,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK CITRA INSANI,62.0,TEMPAT TIDUR,2019
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM MARY CILEUNGSI HIJAU,129.0,TEMPAT TIDUR,2019
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM MH. THAMRIN,121.0,TEMPAT TIDUR,2019
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DR MUHAMAD HASSAN TOTO,129.0,TEMPAT TIDUR,2019
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM TRIMITRA,75.0,TEMPAT TIDUR,2019
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM FAMILY MEDICAL CENTER,89.0,TEMPAT TIDUR,2019
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH LEUWILIANG,232.0,TEMPAT TIDUR,2019
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM CITAMA,100.0,TEMPAT TIDUR,2019
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM ANNISA,70.0,TEMPAT TIDUR,2019
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM SENTRA MEDIKA CIBINONG,169.0,TEMPAT TIDUR,2019
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS SENTOSA,70.0,TEMPAT TIDUR,2019
16,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CILEUNGSI,95.0,TEMPAT TIDUR,2019
