id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_anggaran_belanja,jumlah_anggaran,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,BELANJA LANGSUNG,1356241436000.0,RUPIAH,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,BELANJA TIDAK LANGSUNG,224895365000.0,RUPIAH,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BELANJA LANGSUNG,,RUPIAH,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BELANJA LANGSUNG,31340554226708.0,RUPIAH,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BELANJA TIDAK LANGSUNG,80294466800.0,RUPIAH,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BELANJA LANGSUNG,267872027972.0,RUPIAH,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BELANJA TIDAK LANGSUNG,181816384349.0,RUPIAH,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,BELANJA LANGSUNG,151240282090.0,RUPIAH,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,BELANJA TIDAK LANGSUNG,94705979267.0,RUPIAH,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BELANJA LANGSUNG,108437818935.0,RUPIAH,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BELANJA TIDAK LANGSUNG,29171390513.0,RUPIAH,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BELANJA LANGSUNG,211003622723.0,RUPIAH,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BELANJA TIDAK LANGSUNG,71730228403.0,RUPIAH,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BELANJA LANGSUNG,,RUPIAH,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,BELANJA LANGSUNG,658397150728.0,RUPIAH,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,BELANJA TIDAK LANGSUNG,208564367800.0,RUPIAH,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BELANJA LANGSUNG,63344436670.0,RUPIAH,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BELANJA TIDAK LANGSUNG,0.0,RUPIAH,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BELANJA LANGSUNG,164670566382.0,RUPIAH,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BELANJA TIDAK LANGSUNG,83965793505.0,RUPIAH,2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BELANJA LANGSUNG,0.0,RUPIAH,2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,BELANJA LANGSUNG,246444971751.0,RUPIAH,2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,BELANJA TIDAK LANGSUNG,134263077744.0,RUPIAH,2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BELANJA LANGSUNG,114427574136.0,RUPIAH,2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BELANJA TIDAK LANGSUNG,48295380366.0,RUPIAH,2019
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BELANJA LANGSUNG,515938389598.0,RUPIAH,2019
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BELANJA TIDAK LANGSUNG,199810435449.0,RUPIAH,2019
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,BELANJA LANGSUNG,490863848915.0,RUPIAH,2019
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,BELANJA TIDAK LANGSUNG,642919355935.0,RUPIAH,2019
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BELANJA LANGSUNG,279996099358.0,RUPIAH,2019
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BELANJA TIDAK LANGSUNG,100814674273.0,RUPIAH,2019
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BELANJA LANGSUNG,103549583031.0,RUPIAH,2019
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BELANJA TIDAK LANGSUNG,39106741102.0,RUPIAH,2019
37,32,JAWA BARAT,3271,KOTA BOGOR,BELANJA LANGSUNG,165117691447.0,RUPIAH,2019
38,32,JAWA BARAT,3271,KOTA BOGOR,BELANJA TIDAK LANGSUNG,70755732843.0,RUPIAH,2019
39,32,JAWA BARAT,3272,KOTA SUKABUMI,BELANJA LANGSUNG,,RUPIAH,2019
40,32,JAWA BARAT,3272,KOTA SUKABUMI,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,BELANJA LANGSUNG,990805386928.0,RUPIAH,2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,BELANJA TIDAK LANGSUNG,308351727557.0,RUPIAH,2019
43,32,JAWA BARAT,3274,KOTA CIREBON,BELANJA LANGSUNG,105657007965.0,RUPIAH,2019
44,32,JAWA BARAT,3274,KOTA CIREBON,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
45,32,JAWA BARAT,3275,KOTA BEKASI,BELANJA LANGSUNG,930925509905.0,RUPIAH,2019
46,32,JAWA BARAT,3275,KOTA BEKASI,BELANJA TIDAK LANGSUNG,138424458000.0,RUPIAH,2019
47,32,JAWA BARAT,3276,KOTA DEPOK,BELANJA LANGSUNG,,RUPIAH,2019
48,32,JAWA BARAT,3276,KOTA DEPOK,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
49,32,JAWA BARAT,3277,KOTA CIMAHI,BELANJA LANGSUNG,187946333169.0,RUPIAH,2019
50,32,JAWA BARAT,3277,KOTA CIMAHI,BELANJA TIDAK LANGSUNG,79558330000.0,RUPIAH,2019
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BELANJA LANGSUNG,66641401216.0,RUPIAH,2019
