id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pemberian,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,488261,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,209729,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,355273,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,294498,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,221390,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,119774,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70788,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,84638,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,186436,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,95470,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,84125,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,130026,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,111950,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,84683,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,125140,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,274953,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,143359,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,24943,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,89962,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,25208,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,116906,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,21984,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,161900,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,137195,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,12891,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,51340,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,11737,ORANG,2019
