id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,dana_alokasi_khusus,jenis_dana_alokasi_khusus,jumlah_alokasi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,DAK FISIK,REGULER,71495479000.0,RUPIAH,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,DAK FISIK,PENUGASAN,17172777000.0,RUPIAH,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DAK FISIK,REGULER,,RUPIAH,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DAK FISIK,PENUGASAN,,RUPIAH,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DAK FISIK,REGULER,6915884000.0,RUPIAH,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DAK FISIK,PENUGASAN,9700899000.0,RUPIAH,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DAK FISIK,REGULER,7918927000.0,RUPIAH,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DAK FISIK,PENUGASAN,3013193200.0,RUPIAH,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,DAK FISIK,REGULER,23419642000.0,RUPIAH,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,DAK FISIK,PENUGASAN,9470233000.0,RUPIAH,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DAK FISIK,REGULER,21531928000.0,RUPIAH,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DAK FISIK,PENUGASAN,15249033133.0,RUPIAH,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DAK FISIK,REGULER,8531823000.0,RUPIAH,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DAK FISIK,PENUGASAN,2162804000.0,RUPIAH,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DAK FISIK,REGULER,,RUPIAH,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DAK FISIK,PENUGASAN,,RUPIAH,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,DAK FISIK,REGULER,40633421532.0,RUPIAH,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,DAK FISIK,PENUGASAN,6821109993.0,RUPIAH,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DAK FISIK,REGULER,10564749000.0,RUPIAH,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DAK FISIK,PENUGASAN,0.0,RUPIAH,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DAK FISIK,REGULER,7939419000.0,RUPIAH,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DAK FISIK,PENUGASAN,8508318000.0,RUPIAH,2019
