id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_anggaran_belanja,jumlah_anggaran,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,BELANJA LANGSUNG,76454932800.0,RUPIAH,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BELANJA LANGSUNG,,RUPIAH,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BELANJA LANGSUNG,15102456300.0,RUPIAH,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BELANJA LANGSUNG,13143990000.0,RUPIAH,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,BELANJA LANGSUNG,43244011600.0,RUPIAH,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BELANJA LANGSUNG,,RUPIAH,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BELANJA LANGSUNG,64077610600.0,RUPIAH,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BELANJA LANGSUNG,,RUPIAH,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,BELANJA LANGSUNG,,RUPIAH,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BELANJA LANGSUNG,16503304011.0,RUPIAH,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BELANJA TIDAK LANGSUNG,,RUPIAH,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BELANJA LANGSUNG,10543517200.0,RUPIAH,2019
