id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pelayanan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,105737,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,49318,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,75419,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,63306,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,54860,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,33631,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,32334,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,22156,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,34693,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20254,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18179,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,40483,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,24824,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,22510,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,43320,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,63946,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,31691,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6500,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,19383,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,6343,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,40723,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,6462,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,45405,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,37843,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,9662,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12367,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,3209,ORANG,2019
