id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pelayanan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,76670,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,37611,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4801,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,46338,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,47094,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,34250,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,23828,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20212,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,29989,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,22183,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,17169,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,25544,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,19662,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,18748,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,34122,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,48841,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,18386,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6047,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,18930,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,6548,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,29396,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,8077,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,35134,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,31158,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,8700,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12073,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,2949,ORANG,2019
