id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pelayanan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,52179,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,24583,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12575,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,17969,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,40070,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25186,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,16405,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18318,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,24757,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18853,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,13124,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,19442,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,19376,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14564,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,29309,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,36125,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,13089,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5664,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,19020,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,7446,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,24991,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,7471,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,32344,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,21517,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,10493,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12996,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,4727,ORANG,2019
