id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_anggaran_belanja,jumlah_anggaran,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,DANA DEKONSENTRASI,,RUPIAH,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAIN  LAIN,,RUPIAH,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DANA DEKONSENTRASI,,RUPIAH,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAIN  LAIN,,RUPIAH,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DANA DEKONSENTRASI,,RUPIAH,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAIN  LAIN,,RUPIAH,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DANA DEKONSENTRASI,,RUPIAH,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAIN  LAIN,,RUPIAH,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,DANA DEKONSENTRASI,,RUPIAH,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,LAIN  LAIN,,RUPIAH,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DANA DEKONSENTRASI,,RUPIAH,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAIN  LAIN,,RUPIAH,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DANA DEKONSENTRASI,,RUPIAH,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAIN  LAIN,,RUPIAH,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DANA DEKONSENTRASI,,RUPIAH,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAIN  LAIN,,RUPIAH,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,DANA DEKONSENTRASI,1678434807.0,RUPIAH,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAIN  LAIN,,RUPIAH,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DANA DEKONSENTRASI,,RUPIAH,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAIN  LAIN,,RUPIAH,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DANA DEKONSENTRASI,,RUPIAH,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAIN  LAIN,,RUPIAH,2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DANA DEKONSENTRASI,,RUPIAH,2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAIN  LAIN,,RUPIAH,2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,DANA DEKONSENTRASI,,RUPIAH,2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAIN  LAIN,,RUPIAH,2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DANA DEKONSENTRASI,0.0,RUPIAH,2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAIN  LAIN,0.0,RUPIAH,2019
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DANA DEKONSENTRASI,,RUPIAH,2019
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAIN  LAIN,,RUPIAH,2019
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,DANA DEKONSENTRASI,,RUPIAH,2019
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAIN  LAIN,162509000000.0,RUPIAH,2019
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DANA DEKONSENTRASI,,RUPIAH,2019
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAIN  LAIN,,RUPIAH,2019
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DANA DEKONSENTRASI,,RUPIAH,2019
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAIN  LAIN,,RUPIAH,2019
37,32,JAWA BARAT,3271,KOTA BOGOR,DANA DEKONSENTRASI,,RUPIAH,2019
38,32,JAWA BARAT,3271,KOTA BOGOR,LAIN  LAIN,3178612992.0,RUPIAH,2019
39,32,JAWA BARAT,3272,KOTA SUKABUMI,DANA DEKONSENTRASI,,RUPIAH,2019
40,32,JAWA BARAT,3272,KOTA SUKABUMI,LAIN  LAIN,,RUPIAH,2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,DANA DEKONSENTRASI,,RUPIAH,2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,LAIN  LAIN,,RUPIAH,2019
43,32,JAWA BARAT,3274,KOTA CIREBON,DANA DEKONSENTRASI,,RUPIAH,2019
44,32,JAWA BARAT,3274,KOTA CIREBON,LAIN  LAIN,,RUPIAH,2019
45,32,JAWA BARAT,3275,KOTA BEKASI,DANA DEKONSENTRASI,,RUPIAH,2019
46,32,JAWA BARAT,3275,KOTA BEKASI,LAIN  LAIN,,RUPIAH,2019
47,32,JAWA BARAT,3276,KOTA DEPOK,DANA DEKONSENTRASI,,RUPIAH,2019
48,32,JAWA BARAT,3276,KOTA DEPOK,LAIN  LAIN,,RUPIAH,2019
49,32,JAWA BARAT,3277,KOTA CIMAHI,DANA DEKONSENTRASI,,RUPIAH,2019
50,32,JAWA BARAT,3277,KOTA CIMAHI,LAIN  LAIN,,RUPIAH,2019
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DANA DEKONSENTRASI,,RUPIAH,2019
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAIN  LAIN,,RUPIAH,2019
53,32,JAWA BARAT,3279,KOTA BANJAR,DANA DEKONSENTRASI,,RUPIAH,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,LAIN  LAIN,,RUPIAH,2019
