id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pelayanan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,53166.0,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,64682.0,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,35348.0,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,66027.0,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,77442.0,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,69744.0,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,173257.0,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,134017.0,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,215425.0,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,196641.0,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,,ORANG,2019
