id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pelayanan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,2330.0,SD/MI,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1551.0,SD/MI,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,,SD/MI,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1547.0,SD/MI,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,1660.0,SD/MI,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1247.0,SD/MI,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,920.0,SD/MI,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,740.0,SD/MI,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1069.0,SD/MI,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,767.0,SD/MI,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,663.0,SD/MI,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1022.0,SD/MI,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,982.0,SD/MI,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,461.0,SD/MI,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1052.0,SD/MI,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1169.0,SD/MI,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,714.0,SD/MI,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,350.0,SD/MI,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,338.0,SD/MI,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,157.0,SD/MI,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,587.0,SD/MI,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,,SD/MI,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,788.0,SD/MI,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,605.0,SD/MI,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,149.0,SD/MI,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,281.0,SD/MI,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,111.0,SD/MI,2019
