id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_anggaran,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,4783441810.0,RUPIAH,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,,RUPIAH,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,,RUPIAH,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1280000000.0,RUPIAH,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,,RUPIAH,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,,RUPIAH,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,,RUPIAH,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,,RUPIAH,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,,RUPIAH,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,25209492963.0,RUPIAH,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,,RUPIAH,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,,RUPIAH,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,,RUPIAH,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,,RUPIAH,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,,RUPIAH,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,,RUPIAH,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2854300000.0,RUPIAH,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,,RUPIAH,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,,RUPIAH,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,,RUPIAH,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,,RUPIAH,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,,RUPIAH,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,15241250000.0,RUPIAH,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,,RUPIAH,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,,RUPIAH,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,,RUPIAH,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,,RUPIAH,2019
