id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_ibu_hamil,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,128293,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,48541,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,45277,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,79389,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,55955,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,31560,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18940,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19196,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,39998,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20647,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,19230,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,29476,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,26669,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19483,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,45032,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,83495,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34276,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6358,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,21010,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,6301,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,43647,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,5773,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,56937,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,48242,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,11623,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12413,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,3171,ORANG,2019
