id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kunjungan,persentase_kunjungan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,K1,101.0,PERSEN,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,K4,91.8,PERSEN,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,K1,107.2,PERSEN,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,K4,94.8,PERSEN,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,K1,107.8,PERSEN,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,K4,95.5,PERSEN,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,K1,98.0,PERSEN,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,K4,96.8,PERSEN,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,K1,106.9,PERSEN,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,K4,94.4,PERSEN,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,K1,105.3,PERSEN,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,K4,96.0,PERSEN,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,K1,116.0,PERSEN,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,K4,105.4,PERSEN,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,K1,106.6,PERSEN,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,K4,96.0,PERSEN,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,K1,132.6,PERSEN,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,K4,128.0,PERSEN,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,K1,97.2,PERSEN,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,K4,99.6,PERSEN,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,K1,105.7,PERSEN,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,K4,94.9,PERSEN,2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,K1,131.3,PERSEN,2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,K4,115.1,PERSEN,2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,K1,128.9,PERSEN,2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,K4,131.7,PERSEN,2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,K1,104.2,PERSEN,2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,K4,100.5,PERSEN,2019
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,K1,106.5,PERSEN,2019
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,K4,98.9,PERSEN,2019
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,K1,100.6,PERSEN,2019
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,K4,100.0,PERSEN,2019
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,K1,101.7,PERSEN,2019
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,K4,90.5,PERSEN,2019
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,K1,108.5,PERSEN,2019
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,K4,94.6,PERSEN,2019
37,32,JAWA BARAT,3271,KOTA BOGOR,K1,106.5,PERSEN,2019
38,32,JAWA BARAT,3271,KOTA BOGOR,K4,100.8,PERSEN,2019
39,32,JAWA BARAT,3272,KOTA SUKABUMI,K1,98.3,PERSEN,2019
40,32,JAWA BARAT,3272,KOTA SUKABUMI,K4,88.9,PERSEN,2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,K1,102.1,PERSEN,2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,K4,97.7,PERSEN,2019
43,32,JAWA BARAT,3274,KOTA CIREBON,K1,102.8,PERSEN,2019
44,32,JAWA BARAT,3274,KOTA CIREBON,K4,99.4,PERSEN,2019
45,32,JAWA BARAT,3275,KOTA BEKASI,K1,95.3,PERSEN,2019
46,32,JAWA BARAT,3275,KOTA BEKASI,K4,91.1,PERSEN,2019
47,32,JAWA BARAT,3276,KOTA DEPOK,K1,100.6,PERSEN,2019
48,32,JAWA BARAT,3276,KOTA DEPOK,K4,96.5,PERSEN,2019
49,32,JAWA BARAT,3277,KOTA CIMAHI,K1,99.6,PERSEN,2019
50,32,JAWA BARAT,3277,KOTA CIMAHI,K4,95.1,PERSEN,2019
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,K1,105.2,PERSEN,2019
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,K4,97.6,PERSEN,2019
53,32,JAWA BARAT,3279,KOTA BANJAR,K1,117.7,PERSEN,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,K4,99.9,PERSEN,2019
