id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pelayanan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,461.0,SMA/MA,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,222.0,SMA/MA,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,,SMA/MA,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,172.0,SMA/MA,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,334.0,SMA/MA,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,248.0,SMA/MA,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,125.0,SMA/MA,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,88.0,SMA/MA,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,194.0,SMA/MA,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,109.0,SMA/MA,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,111.0,SMA/MA,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,178.0,SMA/MA,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,152.0,SMA/MA,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,94.0,SMA/MA,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,186.0,SMA/MA,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,271.0,SMA/MA,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,152.0,SMA/MA,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,51.0,SMA/MA,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,166.0,SMA/MA,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,71.0,SMA/MA,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,164.0,SMA/MA,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,,SMA/MA,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,235.0,SMA/MA,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,194.0,SMA/MA,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,49.0,SMA/MA,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,96.0,SMA/MA,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,29.0,SMA/MA,2019
