id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pelayanan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,17256.0,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.0,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,32115.0,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2280.0,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,599.0,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2481.0,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,29710.0,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1664.0,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11193.0,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,5749.0,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2155.0,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3933.0,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,9891.0,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,13508.0,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,32566.0,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,11331.0,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,30466.0,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,5617.0,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,260.0,ORANG,2019
