id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_persalinan,jumlah_persalinan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,PERSALINAN DITOLONG NAKES,110086,PERSALINAN,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PERSALINAN DI FASYANKES,108826,PERSALINAN,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PERSALINAN DITOLONG NAKES,45497,PERSALINAN,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PERSALINAN DI FASYANKES,42916,PERSALINAN,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PERSALINAN DITOLONG NAKES,41048,PERSALINAN,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PERSALINAN DI FASYANKES,37503,PERSALINAN,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PERSALINAN DITOLONG NAKES,70286,PERSALINAN,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PERSALINAN DI FASYANKES,70238,PERSALINAN,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,PERSALINAN DITOLONG NAKES,51001,PERSALINAN,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PERSALINAN DI FASYANKES,42784,PERSALINAN,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PERSALINAN DITOLONG NAKES,30205,PERSALINAN,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PERSALINAN DI FASYANKES,27632,PERSALINAN,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PERSALINAN DITOLONG NAKES,19251,PERSALINAN,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PERSALINAN DI FASYANKES,19453,PERSALINAN,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PERSALINAN DITOLONG NAKES,19396,PERSALINAN,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PERSALINAN DI FASYANKES,19183,PERSALINAN,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,PERSALINAN DITOLONG NAKES,48473,PERSALINAN,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PERSALINAN DI FASYANKES,48287,PERSALINAN,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PERSALINAN DITOLONG NAKES,20287,PERSALINAN,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PERSALINAN DI FASYANKES,19818,PERSALINAN,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PERSALINAN DITOLONG NAKES,18772,PERSALINAN,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PERSALINAN DI FASYANKES,18772,PERSALINAN,2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PERSALINAN DITOLONG NAKES,34201,PERSALINAN,2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PERSALINAN DI FASYANKES,34129,PERSALINAN,2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,PERSALINAN DITOLONG NAKES,31854,PERSALINAN,2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PERSALINAN DI FASYANKES,31783,PERSALINAN,2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PERSALINAN DITOLONG NAKES,18792,PERSALINAN,2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PERSALINAN DI FASYANKES,17256,PERSALINAN,2019
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PERSALINAN DITOLONG NAKES,44353,PERSALINAN,2019
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PERSALINAN DI FASYANKES,43939,PERSALINAN,2019
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,PERSALINAN DITOLONG NAKES,79798,PERSALINAN,2019
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,PERSALINAN DI FASYANKES,77093,PERSALINAN,2019
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PERSALINAN DITOLONG NAKES,28899,PERSALINAN,2019
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PERSALINAN DI FASYANKES,28511,PERSALINAN,2019
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PERSALINAN DITOLONG NAKES,6085,PERSALINAN,2019
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PERSALINAN DI FASYANKES,6021,PERSALINAN,2019
37,32,JAWA BARAT,3271,KOTA BOGOR,PERSALINAN DITOLONG NAKES,19965,PERSALINAN,2019
38,32,JAWA BARAT,3271,KOTA BOGOR,PERSALINAN DI FASYANKES,19895,PERSALINAN,2019
39,32,JAWA BARAT,3272,KOTA SUKABUMI,PERSALINAN DITOLONG NAKES,6056,PERSALINAN,2019
40,32,JAWA BARAT,3272,KOTA SUKABUMI,PERSALINAN DI FASYANKES,6049,PERSALINAN,2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,PERSALINAN DITOLONG NAKES,42151,PERSALINAN,2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,PERSALINAN DI FASYANKES,41929,PERSALINAN,2019
43,32,JAWA BARAT,3274,KOTA CIREBON,PERSALINAN DITOLONG NAKES,5479,PERSALINAN,2019
44,32,JAWA BARAT,3274,KOTA CIREBON,PERSALINAN DI FASYANKES,5449,PERSALINAN,2019
45,32,JAWA BARAT,3275,KOTA BEKASI,PERSALINAN DITOLONG NAKES,49535,PERSALINAN,2019
46,32,JAWA BARAT,3275,KOTA BEKASI,PERSALINAN DI FASYANKES,49535,PERSALINAN,2019
47,32,JAWA BARAT,3276,KOTA DEPOK,PERSALINAN DITOLONG NAKES,44898,PERSALINAN,2019
