id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_persalinan,persentase_persalinan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,PERSALINAN DITOLONG NAKES,89.9,PERSEN,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PERSALINAN DI FASYANKES,88.9,PERSEN,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PERSALINAN DITOLONG NAKES,98.2,PERSEN,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PERSALINAN DI FASYANKES,92.6,PERSEN,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PERSALINAN DITOLONG NAKES,95.0,PERSEN,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PERSALINAN DI FASYANKES,86.8,PERSEN,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PERSALINAN DITOLONG NAKES,92.7,PERSEN,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PERSALINAN DI FASYANKES,92.7,PERSEN,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,PERSALINAN DITOLONG NAKES,95.5,PERSEN,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PERSALINAN DI FASYANKES,80.1,PERSEN,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PERSALINAN DITOLONG NAKES,100.3,PERSEN,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PERSALINAN DI FASYANKES,91.7,PERSEN,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PERSALINAN DITOLONG NAKES,106.5,PERSEN,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PERSALINAN DI FASYANKES,107.6,PERSEN,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PERSALINAN DITOLONG NAKES,105.9,PERSEN,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PERSALINAN DI FASYANKES,104.7,PERSEN,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,PERSALINAN DITOLONG NAKES,96.0,PERSEN,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PERSALINAN DI FASYANKES,95.6,PERSEN,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PERSALINAN DITOLONG NAKES,102.9,PERSEN,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PERSALINAN DI FASYANKES,100.6,PERSEN,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PERSALINAN DITOLONG NAKES,102.3,PERSEN,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PERSALINAN DI FASYANKES,102.3,PERSEN,2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PERSALINAN DITOLONG NAKES,121.6,PERSEN,2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PERSALINAN DI FASYANKES,121.3,PERSEN,2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,PERSALINAN DITOLONG NAKES,125.1,PERSEN,2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PERSALINAN DI FASYANKES,124.8,PERSEN,2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PERSALINAN DITOLONG NAKES,101.0,PERSEN,2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PERSALINAN DI FASYANKES,92.8,PERSEN,2019
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PERSALINAN DITOLONG NAKES,103.2,PERSEN,2019
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PERSALINAN DI FASYANKES,102.2,PERSEN,2019
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,PERSALINAN DITOLONG NAKES,100.1,PERSEN,2019
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,PERSALINAN DI FASYANKES,96.7,PERSEN,2019
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PERSALINAN DITOLONG NAKES,88.3,PERSEN,2019
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PERSALINAN DI FASYANKES,87.1,PERSEN,2019
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PERSALINAN DITOLONG NAKES,100.3,PERSEN,2019
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PERSALINAN DI FASYANKES,99.2,PERSEN,2019
37,32,JAWA BARAT,3271,KOTA BOGOR,PERSALINAN DITOLONG NAKES,99.6,PERSEN,2019
38,32,JAWA BARAT,3271,KOTA BOGOR,PERSALINAN DI FASYANKES,99.2,PERSEN,2019
39,32,JAWA BARAT,3272,KOTA SUKABUMI,PERSALINAN DITOLONG NAKES,100.7,PERSEN,2019
40,32,JAWA BARAT,3272,KOTA SUKABUMI,PERSALINAN DI FASYANKES,100.6,PERSEN,2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,PERSALINAN DITOLONG NAKES,101.2,PERSEN,2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,PERSALINAN DI FASYANKES,100.6,PERSEN,2019
43,32,JAWA BARAT,3274,KOTA CIREBON,PERSALINAN DITOLONG NAKES,99.4,PERSEN,2019
44,32,JAWA BARAT,3274,KOTA CIREBON,PERSALINAN DI FASYANKES,98.9,PERSEN,2019
45,32,JAWA BARAT,3275,KOTA BEKASI,PERSALINAN DITOLONG NAKES,91.1,PERSEN,2019
46,32,JAWA BARAT,3275,KOTA BEKASI,PERSALINAN DI FASYANKES,91.1,PERSEN,2019
47,32,JAWA BARAT,3276,KOTA DEPOK,PERSALINAN DITOLONG NAKES,97.5,PERSEN,2019
48,32,JAWA BARAT,3276,KOTA DEPOK,PERSALINAN DI FASYANKES,97.5,PERSEN,2019
49,32,JAWA BARAT,3277,KOTA CIMAHI,PERSALINAN DITOLONG NAKES,97.3,PERSEN,2019
50,32,JAWA BARAT,3277,KOTA CIMAHI,PERSALINAN DI FASYANKES,97.3,PERSEN,2019
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PERSALINAN DITOLONG NAKES,98.4,PERSEN,2019
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PERSALINAN DI FASYANKES,98.3,PERSEN,2019
53,32,JAWA BARAT,3279,KOTA BANJAR,PERSALINAN DITOLONG NAKES,100.5,PERSEN,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,PERSALINAN DI FASYANKES,100.5,PERSEN,2019
