id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kunjungan,jumlah_pengunjung,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KF1,117180,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,KF2,116284,ORANG,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,KF3,114887,ORANG,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KF1,46844,ORANG,2019
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KF2,45949,ORANG,2019
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KF3,45108,ORANG,2019
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KF1,42876,ORANG,2019
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KF2,42718,ORANG,2019
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KF3,42272,ORANG,2019
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KF1,70821,ORANG,2019
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KF2,70765,ORANG,2019
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KF3,70443,ORANG,2019
13,32,JAWA BARAT,3205,KABUPATEN GARUT,KF1,52410,ORANG,2019
14,32,JAWA BARAT,3205,KABUPATEN GARUT,KF2,52206,ORANG,2019
15,32,JAWA BARAT,3205,KABUPATEN GARUT,KF3,51064,ORANG,2019
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KF1,30399,ORANG,2019
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KF2,30625,ORANG,2019
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KF3,30591,ORANG,2019
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KF1,19484,ORANG,2019
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KF2,19398,ORANG,2019
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KF3,19797,ORANG,2019
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KF1,19400,ORANG,2019
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KF2,19231,ORANG,2019
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KF3,19150,ORANG,2019
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,KF1,48121,ORANG,2019
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,KF2,48393,ORANG,2019
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,KF3,48233,ORANG,2019
28,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KF1,20404,ORANG,2019
29,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KF2,20170,ORANG,2019
30,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KF3,20114,ORANG,2019
31,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KF1,18776,ORANG,2019
32,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KF2,18711,ORANG,2019
33,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KF3,18305,ORANG,2019
34,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KF1,34279,ORANG,2019
35,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KF2,34289,ORANG,2019
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KF3,34246,ORANG,2019
37,32,JAWA BARAT,3213,KABUPATEN SUBANG,KF1,31854,ORANG,2019
38,32,JAWA BARAT,3213,KABUPATEN SUBANG,KF2,31854,ORANG,2019
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,KF3,31854,ORANG,2019
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KF1,19260,ORANG,2019
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KF2,19164,ORANG,2019
42,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KF3,19034,ORANG,2019
43,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KF1,44412,ORANG,2019
44,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KF2,44317,ORANG,2019
45,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KF3,43853,ORANG,2019
46,32,JAWA BARAT,3216,KABUPATEN BEKASI,KF1,79803,ORANG,2019
47,32,JAWA BARAT,3216,KABUPATEN BEKASI,KF2,79725,ORANG,2019
48,32,JAWA BARAT,3216,KABUPATEN BEKASI,KF3,79701,ORANG,2019
49,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KF1,29967,ORANG,2019
