id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pelayanan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1699.0,SD/MI,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,240.0,SD/MI,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,,SD/MI,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1567.0,SD/MI,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,,SD/MI,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8624.0,SD/MI,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,882.0,SD/MI,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,557.0,SD/MI,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1060.0,SD/MI,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,713.0,SD/MI,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,,SD/MI,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,18290.0,SD/MI,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1808.0,SD/MI,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,449.0,SD/MI,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,742.0,SD/MI,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,2273.0,SD/MI,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,,SD/MI,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,,SD/MI,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,332.0,SD/MI,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,,SD/MI,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,414.0,SD/MI,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,,SD/MI,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,42.0,SD/MI,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,,SD/MI,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,263.0,SD/MI,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,,SD/MI,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,94.0,SD/MI,2019
