id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kunjungan,persentase_pengunjung,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KF1,95.7,PERSEN,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,KF2,95.0,PERSEN,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,KF3,93.8,PERSEN,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KF1,101.1,PERSEN,2019
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KF2,99.2,PERSEN,2019
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KF3,97.4,PERSEN,2019
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KF1,99.2,PERSEN,2019
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KF2,98.8,PERSEN,2019
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KF3,97.8,PERSEN,2019
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KF1,93.5,PERSEN,2019
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KF2,93.4,PERSEN,2019
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KF3,93.0,PERSEN,2019
13,32,JAWA BARAT,3205,KABUPATEN GARUT,KF1,98.1,PERSEN,2019
14,32,JAWA BARAT,3205,KABUPATEN GARUT,KF2,97.7,PERSEN,2019
15,32,JAWA BARAT,3205,KABUPATEN GARUT,KF3,95.6,PERSEN,2019
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KF1,100.9,PERSEN,2019
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KF2,101.7,PERSEN,2019
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KF3,101.5,PERSEN,2019
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KF1,107.8,PERSEN,2019
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KF2,107.3,PERSEN,2019
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KF3,109.5,PERSEN,2019
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KF1,105.9,PERSEN,2019
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KF2,104.9,PERSEN,2019
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KF3,104.5,PERSEN,2019
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,KF1,95.3,PERSEN,2019
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,KF2,95.8,PERSEN,2019
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,KF3,95.5,PERSEN,2019
28,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KF1,103.5,PERSEN,2019
29,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KF2,102.3,PERSEN,2019
30,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KF3,102.1,PERSEN,2019
31,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KF1,102.3,PERSEN,2019
32,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KF2,101.9,PERSEN,2019
33,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KF3,99.7,PERSEN,2019
34,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KF1,121.8,PERSEN,2019
35,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KF2,121.9,PERSEN,2019
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KF3,121.7,PERSEN,2019
37,32,JAWA BARAT,3213,KABUPATEN SUBANG,KF1,125.1,PERSEN,2019
38,32,JAWA BARAT,3213,KABUPATEN SUBANG,KF2,125.1,PERSEN,2019
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,KF3,125.1,PERSEN,2019
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KF1,103.6,PERSEN,2019
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KF2,103.0,PERSEN,2019
42,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KF3,102.3,PERSEN,2019
43,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KF1,103.3,PERSEN,2019
44,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KF2,103.1,PERSEN,2019
45,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KF3,102.0,PERSEN,2019
46,32,JAWA BARAT,3216,KABUPATEN BEKASI,KF1,100.1,PERSEN,2019
47,32,JAWA BARAT,3216,KABUPATEN BEKASI,KF2,100.0,PERSEN,2019
48,32,JAWA BARAT,3216,KABUPATEN BEKASI,KF3,100.0,PERSEN,2019
49,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KF1,91.6,PERSEN,2019
50,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KF2,90.9,PERSEN,2019
51,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KF3,87.7,PERSEN,2019
52,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KF1,100.5,PERSEN,2019
53,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KF2,100.5,PERSEN,2019
