id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_ibu_nifas,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,113999,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,46794,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,43171,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,70821,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,48328,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,31459,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18508,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19400,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,49529,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20313,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18776,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,34246,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,31854,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19250,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,44297,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,79810,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,29889,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6099,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,21879,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,6031,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,42144,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,5476,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,49494,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,43846,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,10667,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11696,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,3055,ORANG,2019
