id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_puskesmas,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,101,PUSKESMAS,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,58,PUSKESMAS,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,45,PUSKESMAS,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,62,PUSKESMAS,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,65,PUSKESMAS,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,40,PUSKESMAS,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,37,PUSKESMAS,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,37,PUSKESMAS,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,60,PUSKESMAS,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,32,PUSKESMAS,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,35,PUSKESMAS,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,49,PUSKESMAS,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,40,PUSKESMAS,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,20,PUSKESMAS,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,50,PUSKESMAS,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,44,PUSKESMAS,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,32,PUSKESMAS,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,15,PUSKESMAS,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,25,PUSKESMAS,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,15,PUSKESMAS,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,73,PUSKESMAS,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,22,PUSKESMAS,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,39,PUSKESMAS,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,32,PUSKESMAS,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,13,PUSKESMAS,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,21,PUSKESMAS,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,10,PUSKESMAS,2019
