id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pemeriksaan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,15028.0,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2912.0,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,24816.0,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.0,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8929.0,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10276.0,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,4464.0,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1949.0,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2392.0,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,4988.0,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1422.0,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,20294.0,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,6618.0,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,4269.0,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,388.0,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,4901.0,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,2637.0,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,3217.0,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,5532.0,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,60.0,ORANG,2019
