id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_tes,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,31.0,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,55.0,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,280.0,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.0,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,28.0,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,444.0,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,46.0,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,43.0,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,21.0,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,9.0,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,6.0,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,56.0,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,19.0,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,18.0,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,3.0,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,90.0,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,81.0,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,24.0,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,5.0,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,0.0,ORANG,2019
