id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pasangan_usia_subur,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1034062,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,505665,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,561527,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,674738,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,576529,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,341274,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,229216,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,236175,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,454705,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,266266,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,213037,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,293837,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,224207,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,192579,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,581311,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,649706,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,321329,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,80439,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,153944,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,54289,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,354800,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,41690,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,542493,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,324730,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,91773,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,164837,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,35238,ORANG,2019
