id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kontrasepsi,jumlah_peserta_kb,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KONDOM,8864,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SUNTIK,510878,ORANG,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,PIL,163484,ORANG,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,AKDR,36798,ORANG,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,MOP,1735,ORANG,2019
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,MOW,13051,ORANG,2019
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,IMPLAN,30186,ORANG,2019
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KONDOM,6359,ORANG,2019
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SUNTIK,177138,ORANG,2019
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PIL,119638,ORANG,2019
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,AKDR,28168,ORANG,2019
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MOP,2295,ORANG,2019
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MOW,7206,ORANG,2019
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,IMPLAN,52993,ORANG,2019
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KONDOM,3614,ORANG,2019
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SUNTIK,189245,ORANG,2019
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PIL,96674,ORANG,2019
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AKDR,26904,ORANG,2019
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MOP,834,ORANG,2019
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MOW,3478,ORANG,2019
21,32,JAWA BARAT,3203,KABUPATEN CIANJUR,IMPLAN,30642,ORANG,2019
22,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KONDOM,7383,ORANG,2019
23,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SUNTIK,300129,ORANG,2019
24,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PIL,106142,ORANG,2019
25,32,JAWA BARAT,3204,KABUPATEN BANDUNG,AKDR,90088,ORANG,2019
26,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MOP,3656,ORANG,2019
27,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MOW,17606,ORANG,2019
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,IMPLAN,27087,ORANG,2019
29,32,JAWA BARAT,3205,KABUPATEN GARUT,KONDOM,25827,ORANG,2019
30,32,JAWA BARAT,3205,KABUPATEN GARUT,SUNTIK,231494,ORANG,2019
31,32,JAWA BARAT,3205,KABUPATEN GARUT,PIL,77064,ORANG,2019
32,32,JAWA BARAT,3205,KABUPATEN GARUT,AKDR,73220,ORANG,2019
33,32,JAWA BARAT,3205,KABUPATEN GARUT,MOP,5768,ORANG,2019
34,32,JAWA BARAT,3205,KABUPATEN GARUT,MOW,8836,ORANG,2019
35,32,JAWA BARAT,3205,KABUPATEN GARUT,IMPLAN,50168,ORANG,2019
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KONDOM,2126,ORANG,2019
37,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SUNTIK,161811,ORANG,2019
38,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PIL,44119,ORANG,2019
39,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AKDR,24337,ORANG,2019
40,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MOP,769,ORANG,2019
41,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MOW,5076,ORANG,2019
42,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,IMPLAN,17348,ORANG,2019
43,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KONDOM,2677,ORANG,2019
44,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SUNTIK,104565,ORANG,2019
45,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PIL,42623,ORANG,2019
46,32,JAWA BARAT,3207,KABUPATEN CIAMIS,AKDR,19805,ORANG,2019
47,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MOP,1148,ORANG,2019
48,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MOW,7581,ORANG,2019
49,32,JAWA BARAT,3207,KABUPATEN CIAMIS,IMPLAN,11980,ORANG,2019
50,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KONDOM,1267,ORANG,2019
51,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SUNTIK,18075,ORANG,2019
52,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PIL,113404,ORANG,2019
53,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AKDR,18067,ORANG,2019
54,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MOP,316,ORANG,2019
55,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MOW,10596,ORANG,2019
56,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,IMPLAN,17498,ORANG,2019
57,32,JAWA BARAT,3209,KABUPATEN CIREBON,KONDOM,9383,ORANG,2019
58,32,JAWA BARAT,3209,KABUPATEN CIREBON,SUNTIK,223543,ORANG,2019
59,32,JAWA BARAT,3209,KABUPATEN CIREBON,PIL,55504,ORANG,2019
60,32,JAWA BARAT,3209,KABUPATEN CIREBON,AKDR,23627,ORANG,2019
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,MOP,2192,ORANG,2019
62,32,JAWA BARAT,3209,KABUPATEN CIREBON,MOW,16886,ORANG,2019
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,IMPLAN,26327,ORANG,2019
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KONDOM,2314,ORANG,2019
65,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SUNTIK,145266,ORANG,2019
