id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_ibu_bersalin,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,122462,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,46334,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,43219,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,75781,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,53411,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30126,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18079,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18324,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,50496,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,19709,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18356,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,28136,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,25457,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,18598,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,42985,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,79700,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,32718,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6069,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,20055,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,6014,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,41663,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,5510,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,54349,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,46049,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,11094,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11849,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,3027,ORANG,2019
