id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kontrasepsi,jumlah_peserta_kb,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KONDOM,528,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SUNTIK,36049,ORANG,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,PIL,19880,ORANG,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,AKDR,1434,ORANG,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,MOP,0,ORANG,2019
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,MOW,383,ORANG,2019
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,IMPLAN,2293,ORANG,2019
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KONDOM,167,ORANG,2019
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SUNTIK,11510,ORANG,2019
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PIL,1748,ORANG,2019
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,AKDR,1272,ORANG,2019
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MOP,4,ORANG,2019
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MOW,32,ORANG,2019
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,IMPLAN,704,ORANG,2019
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KONDOM,318,ORANG,2019
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SUNTIK,3992,ORANG,2019
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PIL,2480,ORANG,2019
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AKDR,315,ORANG,2019
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MOP,0,ORANG,2019
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MOW,15,ORANG,2019
21,32,JAWA BARAT,3203,KABUPATEN CIANJUR,IMPLAN,394,ORANG,2019
22,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KONDOM,490,ORANG,2019
23,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SUNTIK,26015,ORANG,2019
24,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PIL,3885,ORANG,2019
25,32,JAWA BARAT,3204,KABUPATEN BANDUNG,AKDR,3425,ORANG,2019
26,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MOP,12,ORANG,2019
27,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MOW,272,ORANG,2019
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,IMPLAN,1366,ORANG,2019
29,32,JAWA BARAT,3205,KABUPATEN GARUT,KONDOM,870,ORANG,2019
30,32,JAWA BARAT,3205,KABUPATEN GARUT,SUNTIK,14851,ORANG,2019
31,32,JAWA BARAT,3205,KABUPATEN GARUT,PIL,5870,ORANG,2019
32,32,JAWA BARAT,3205,KABUPATEN GARUT,AKDR,3217,ORANG,2019
33,32,JAWA BARAT,3205,KABUPATEN GARUT,MOP,138,ORANG,2019
34,32,JAWA BARAT,3205,KABUPATEN GARUT,MOW,158,ORANG,2019
35,32,JAWA BARAT,3205,KABUPATEN GARUT,IMPLAN,2181,ORANG,2019
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KONDOM,153,ORANG,2019
37,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SUNTIK,16763,ORANG,2019
38,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PIL,2846,ORANG,2019
39,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AKDR,1905,ORANG,2019
40,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MOP,1,ORANG,2019
41,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MOW,108,ORANG,2019
42,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,IMPLAN,982,ORANG,2019
43,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KONDOM,5,ORANG,2019
44,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SUNTIK,1486,ORANG,2019
45,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PIL,264,ORANG,2019
46,32,JAWA BARAT,3207,KABUPATEN CIAMIS,AKDR,188,ORANG,2019
47,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MOP,4,ORANG,2019
48,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MOW,28,ORANG,2019
49,32,JAWA BARAT,3207,KABUPATEN CIAMIS,IMPLAN,37,ORANG,2019
50,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KONDOM,32,ORANG,2019
51,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SUNTIK,2021,ORANG,2019
52,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PIL,135,ORANG,2019
53,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AKDR,407,ORANG,2019
54,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MOP,57,ORANG,2019
55,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MOW,162,ORANG,2019
56,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,IMPLAN,324,ORANG,2019
57,32,JAWA BARAT,3209,KABUPATEN CIREBON,KONDOM,458,ORANG,2019
58,32,JAWA BARAT,3209,KABUPATEN CIREBON,SUNTIK,35405,ORANG,2019
59,32,JAWA BARAT,3209,KABUPATEN CIREBON,PIL,2663,ORANG,2019
60,32,JAWA BARAT,3209,KABUPATEN CIREBON,AKDR,1322,ORANG,2019
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,MOP,36,ORANG,2019
62,32,JAWA BARAT,3209,KABUPATEN CIREBON,MOW,852,ORANG,2019
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,IMPLAN,1476,ORANG,2019
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KONDOM,90,ORANG,2019
65,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SUNTIK,1631,ORANG,2019
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PIL,524,ORANG,2019
67,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AKDR,53,ORANG,2019
68,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MOP,0,ORANG,2019
69,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MOW,26,ORANG,2019
70,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,IMPLAN,79,ORANG,2019
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KONDOM,249,ORANG,2019
72,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SUNTIK,12874,ORANG,2019
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PIL,2678,ORANG,2019
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AKDR,2119,ORANG,2019
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MOP,18,ORANG,2019
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MOW,202,ORANG,2019
77,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,IMPLAN,1363,ORANG,2019
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KONDOM,195,ORANG,2019
79,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SUNTIK,9615,ORANG,2019
80,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PIL,2165,ORANG,2019
81,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AKDR,97,ORANG,2019
82,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MOP,4,ORANG,2019
83,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MOW,84,ORANG,2019
84,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,IMPLAN,669,ORANG,2019
85,32,JAWA BARAT,3213,KABUPATEN SUBANG,KONDOM,186,ORANG,2019
86,32,JAWA BARAT,3213,KABUPATEN SUBANG,SUNTIK,3970,ORANG,2019
87,32,JAWA BARAT,3213,KABUPATEN SUBANG,PIL,1794,ORANG,2019
88,32,JAWA BARAT,3213,KABUPATEN SUBANG,AKDR,350,ORANG,2019
89,32,JAWA BARAT,3213,KABUPATEN SUBANG,MOP,59,ORANG,2019
90,32,JAWA BARAT,3213,KABUPATEN SUBANG,MOW,21,ORANG,2019
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,IMPLAN,309,ORANG,2019
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KONDOM,317,ORANG,2019
93,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SUNTIK,9430,ORANG,2019
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PIL,2759,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AKDR,922,ORANG,2019
96,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MOP,25,ORANG,2019
97,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MOW,168,ORANG,2019
98,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,IMPLAN,819,ORANG,2019
99,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KONDOM,292,ORANG,2019
100,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SUNTIK,24064,ORANG,2019
101,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PIL,7227,ORANG,2019
102,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AKDR,929,ORANG,2019
103,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MOP,0,ORANG,2019
104,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MOW,434,ORANG,2019
105,32,JAWA BARAT,3215,KABUPATEN KARAWANG,IMPLAN,1426,ORANG,2019
106,32,JAWA BARAT,3216,KABUPATEN BEKASI,KONDOM,4117,ORANG,2019
107,32,JAWA BARAT,3216,KABUPATEN BEKASI,SUNTIK,39604,ORANG,2019
108,32,JAWA BARAT,3216,KABUPATEN BEKASI,PIL,17662,ORANG,2019
109,32,JAWA BARAT,3216,KABUPATEN BEKASI,AKDR,3112,ORANG,2019
110,32,JAWA BARAT,3216,KABUPATEN BEKASI,MOP,135,ORANG,2019
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,MOW,587,ORANG,2019
112,32,JAWA BARAT,3216,KABUPATEN BEKASI,IMPLAN,5016,ORANG,2019
113,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KONDOM,18,ORANG,2019
114,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SUNTIK,726,ORANG,2019
115,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PIL,225,ORANG,2019
116,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AKDR,96,ORANG,2019
117,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MOP,0,ORANG,2019
118,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MOW,12,ORANG,2019
119,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,IMPLAN,86,ORANG,2019
120,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KONDOM,70,ORANG,2019
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SUNTIK,2883,ORANG,2019
122,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PIL,636,ORANG,2019
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AKDR,241,ORANG,2019
124,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MOP,0,ORANG,2019
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MOW,21,ORANG,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,IMPLAN,271,ORANG,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,KONDOM,283,ORANG,2019
128,32,JAWA BARAT,3271,KOTA BOGOR,SUNTIK,3866,ORANG,2019
129,32,JAWA BARAT,3271,KOTA BOGOR,PIL,917,ORANG,2019
130,32,JAWA BARAT,3271,KOTA BOGOR,AKDR,676,ORANG,2019
131,32,JAWA BARAT,3271,KOTA BOGOR,MOP,4,ORANG,2019
132,32,JAWA BARAT,3271,KOTA BOGOR,MOW,5,ORANG,2019
133,32,JAWA BARAT,3271,KOTA BOGOR,IMPLAN,29,ORANG,2019
134,32,JAWA BARAT,3272,KOTA SUKABUMI,KONDOM,42,ORANG,2019
135,32,JAWA BARAT,3272,KOTA SUKABUMI,SUNTIK,1152,ORANG,2019
136,32,JAWA BARAT,3272,KOTA SUKABUMI,PIL,123,ORANG,2019
137,32,JAWA BARAT,3272,KOTA SUKABUMI,AKDR,110,ORANG,2019
138,32,JAWA BARAT,3272,KOTA SUKABUMI,MOP,12,ORANG,2019
139,32,JAWA BARAT,3272,KOTA SUKABUMI,MOW,17,ORANG,2019
140,32,JAWA BARAT,3272,KOTA SUKABUMI,IMPLAN,49,ORANG,2019
141,32,JAWA BARAT,3273,KOTA BANDUNG,KONDOM,164,ORANG,2019
142,32,JAWA BARAT,3273,KOTA BANDUNG,SUNTIK,2981,ORANG,2019
143,32,JAWA BARAT,3273,KOTA BANDUNG,PIL,318,ORANG,2019
144,32,JAWA BARAT,3273,KOTA BANDUNG,AKDR,752,ORANG,2019
145,32,JAWA BARAT,3273,KOTA BANDUNG,MOP,2,ORANG,2019
146,32,JAWA BARAT,3273,KOTA BANDUNG,MOW,15,ORANG,2019
147,32,JAWA BARAT,3273,KOTA BANDUNG,IMPLAN,104,ORANG,2019
148,32,JAWA BARAT,3274,KOTA CIREBON,KONDOM,6,ORANG,2019
149,32,JAWA BARAT,3274,KOTA CIREBON,SUNTIK,84,ORANG,2019
150,32,JAWA BARAT,3274,KOTA CIREBON,PIL,9,ORANG,2019
151,32,JAWA BARAT,3274,KOTA CIREBON,AKDR,18,ORANG,2019
152,32,JAWA BARAT,3274,KOTA CIREBON,MOP,1,ORANG,2019
153,32,JAWA BARAT,3274,KOTA CIREBON,MOW,2,ORANG,2019
154,32,JAWA BARAT,3274,KOTA CIREBON,IMPLAN,16,ORANG,2019
155,32,JAWA BARAT,3275,KOTA BEKASI,KONDOM,652,ORANG,2019
156,32,JAWA BARAT,3275,KOTA BEKASI,SUNTIK,10498,ORANG,2019
157,32,JAWA BARAT,3275,KOTA BEKASI,PIL,2672,ORANG,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,AKDR,1139,ORANG,2019
159,32,JAWA BARAT,3275,KOTA BEKASI,MOP,5,ORANG,2019
160,32,JAWA BARAT,3275,KOTA BEKASI,MOW,111,ORANG,2019
161,32,JAWA BARAT,3275,KOTA BEKASI,IMPLAN,819,ORANG,2019
162,32,JAWA BARAT,3276,KOTA DEPOK,KONDOM,780,ORANG,2019
163,32,JAWA BARAT,3276,KOTA DEPOK,SUNTIK,9051,ORANG,2019
164,32,JAWA BARAT,3276,KOTA DEPOK,PIL,2326,ORANG,2019
165,32,JAWA BARAT,3276,KOTA DEPOK,AKDR,1206,ORANG,2019
166,32,JAWA BARAT,3276,KOTA DEPOK,MOP,2,ORANG,2019
167,32,JAWA BARAT,3276,KOTA DEPOK,MOW,135,ORANG,2019
168,32,JAWA BARAT,3276,KOTA DEPOK,IMPLAN,959,ORANG,2019
169,32,JAWA BARAT,3277,KOTA CIMAHI,KONDOM,20,ORANG,2019
170,32,JAWA BARAT,3277,KOTA CIMAHI,SUNTIK,355,ORANG,2019
171,32,JAWA BARAT,3277,KOTA CIMAHI,PIL,45,ORANG,2019
172,32,JAWA BARAT,3277,KOTA CIMAHI,AKDR,241,ORANG,2019
173,32,JAWA BARAT,3277,KOTA CIMAHI,MOP,8,ORANG,2019
174,32,JAWA BARAT,3277,KOTA CIMAHI,MOW,0,ORANG,2019
175,32,JAWA BARAT,3277,KOTA CIMAHI,IMPLAN,9,ORANG,2019
176,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KONDOM,12,ORANG,2019
177,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SUNTIK,4494,ORANG,2019
178,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PIL,636,ORANG,2019
179,32,JAWA BARAT,3278,KOTA TASIKMALAYA,AKDR,1414,ORANG,2019
