id,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kontrasepsi,persentase_peserta_kb_pasca_bersalin,satuan,tahun
1,JAWA BARAT,3201,KABUPATEN BOGOR,KONDOM,0.9,PERSEN,2019
2,JAWA BARAT,3201,KABUPATEN BOGOR,SUNTIK,59.5,PERSEN,2019
3,JAWA BARAT,3201,KABUPATEN BOGOR,PIL,32.8,PERSEN,2019
4,JAWA BARAT,3201,KABUPATEN BOGOR,AKDR,2.4,PERSEN,2019
5,JAWA BARAT,3201,KABUPATEN BOGOR,MOP,0.0,PERSEN,2019
6,JAWA BARAT,3201,KABUPATEN BOGOR,MOW,0.63,PERSEN,2019
7,JAWA BARAT,3201,KABUPATEN BOGOR,IMPLAN,3.79,PERSEN,2019
8,JAWA BARAT,3202,KABUPATEN SUKABUMI,KONDOM,1.1,PERSEN,2019
9,JAWA BARAT,3202,KABUPATEN SUKABUMI,SUNTIK,74.6,PERSEN,2019
10,JAWA BARAT,3202,KABUPATEN SUKABUMI,PIL,11.3,PERSEN,2019
11,JAWA BARAT,3202,KABUPATEN SUKABUMI,AKDR,8.2,PERSEN,2019
12,JAWA BARAT,3202,KABUPATEN SUKABUMI,MOP,0.03,PERSEN,2019
13,JAWA BARAT,3202,KABUPATEN SUKABUMI,MOW,0.21,PERSEN,2019
14,JAWA BARAT,3202,KABUPATEN SUKABUMI,IMPLAN,4.56,PERSEN,2019
15,JAWA BARAT,3203,KABUPATEN CIANJUR,KONDOM,4.2,PERSEN,2019
16,JAWA BARAT,3203,KABUPATEN CIANJUR,SUNTIK,53.1,PERSEN,2019
17,JAWA BARAT,3203,KABUPATEN CIANJUR,PIL,33.0,PERSEN,2019
18,JAWA BARAT,3203,KABUPATEN CIANJUR,AKDR,4.2,PERSEN,2019
19,JAWA BARAT,3203,KABUPATEN CIANJUR,MOP,0.0,PERSEN,2019
20,JAWA BARAT,3203,KABUPATEN CIANJUR,MOW,0.2,PERSEN,2019
21,JAWA BARAT,3203,KABUPATEN CIANJUR,IMPLAN,5.24,PERSEN,2019
22,JAWA BARAT,3204,KABUPATEN BANDUNG,KONDOM,1.4,PERSEN,2019
23,JAWA BARAT,3204,KABUPATEN BANDUNG,SUNTIK,73.4,PERSEN,2019
24,JAWA BARAT,3204,KABUPATEN BANDUNG,PIL,11.0,PERSEN,2019
25,JAWA BARAT,3204,KABUPATEN BANDUNG,AKDR,9.7,PERSEN,2019
26,JAWA BARAT,3204,KABUPATEN BANDUNG,MOP,0.03,PERSEN,2019
27,JAWA BARAT,3204,KABUPATEN BANDUNG,MOW,0.77,PERSEN,2019
28,JAWA BARAT,3204,KABUPATEN BANDUNG,IMPLAN,3.85,PERSEN,2019
29,JAWA BARAT,3205,KABUPATEN GARUT,KONDOM,3.2,PERSEN,2019
30,JAWA BARAT,3205,KABUPATEN GARUT,SUNTIK,54.4,PERSEN,2019
31,JAWA BARAT,3205,KABUPATEN GARUT,PIL,21.5,PERSEN,2019
32,JAWA BARAT,3205,KABUPATEN GARUT,AKDR,11.8,PERSEN,2019
33,JAWA BARAT,3205,KABUPATEN GARUT,MOP,0.51,PERSEN,2019
34,JAWA BARAT,3205,KABUPATEN GARUT,MOW,0.58,PERSEN,2019
35,JAWA BARAT,3205,KABUPATEN GARUT,IMPLAN,7.99,PERSEN,2019
