id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_perkiraan_bumil,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,25659,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9708,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9055,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15878,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,11191,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6312,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3788,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3839,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,8000,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4129,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3846,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5895,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,5334,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3897,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,9006,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,16699,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6855,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1272,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,4202,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,1260,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,8729,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,1155,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,11387,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,9648,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,2325,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2483,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,634,ORANG,2019
