id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_sarana_air,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,122738,UNIT,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,203428,UNIT,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,31108,UNIT,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,72606,UNIT,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,211956,UNIT,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,255021,UNIT,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,67854,UNIT,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,177904,UNIT,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,111463,UNIT,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,57892,UNIT,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,14219,UNIT,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,55111,UNIT,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,101091,UNIT,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,136495,UNIT,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,89951,UNIT,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20209,UNIT,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,28550,UNIT,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,44638,UNIT,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,221,UNIT,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,184792,UNIT,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,67389,UNIT,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,574,UNIT,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,0,UNIT,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,11793,UNIT,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,40568,UNIT,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,3985,UNIT,2019
