id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_sarana_air,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,82.5,PERSEN,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,66.4,PERSEN,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,53.4,PERSEN,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,39.0,PERSEN,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0.0,PERSEN,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,71.7,PERSEN,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,96.6,PERSEN,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,97.0,PERSEN,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,68.2,PERSEN,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,78.2,PERSEN,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,79.4,PERSEN,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,87.7,PERSEN,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,71.1,PERSEN,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,91.2,PERSEN,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,61.6,PERSEN,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,57.2,PERSEN,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34.1,PERSEN,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,81.1,PERSEN,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,63.7,PERSEN,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,47.9,PERSEN,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,68.1,PERSEN,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,98.3,PERSEN,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,88.6,PERSEN,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,0.0,PERSEN,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,77.4,PERSEN,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,75.0,PERSEN,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,79.2,PERSEN,2019
