id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_sarana_air,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,40.0,PERSEN,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,49.0,PERSEN,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,18.8,PERSEN,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,21.9,PERSEN,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0.0,PERSEN,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,100.0,PERSEN,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,93.9,PERSEN,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,30.4,PERSEN,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,56.4,PERSEN,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,58.1,PERSEN,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,24.6,PERSEN,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4.7,PERSEN,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,22.0,PERSEN,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,51.5,PERSEN,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,44.7,PERSEN,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,23.7,PERSEN,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,16.5,PERSEN,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,68.4,PERSEN,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,34.6,PERSEN,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,58.1,PERSEN,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,66.9,PERSEN,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,98.0,PERSEN,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,63.2,PERSEN,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,0.0,PERSEN,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,15.8,PERSEN,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,38.6,PERSEN,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,3.1,PERSEN,2019
