id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penanganan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,14169,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4872,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4461,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9225,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,5396,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5200,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1649,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1975,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,8124,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3018,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1218,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3249,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,4306,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2373,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5903,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,11279,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2525,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,507,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,2637,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,917,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,4389,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,767,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,2649,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,4941,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,705,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1969,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,350,ORANG,2019
