id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,penyebab_kematian,jumlah_kematian,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,BBLR,47,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,ASFIKSIA,24,ORANG,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,TETANUS NEONATORUM,2,ORANG,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,SEPSIS,2,ORANG,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,KELAINAN BAWAAN,13,ORANG,2019
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAIN-LAIN,3,ORANG,2019
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BBLR,70,ORANG,2019
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ASFIKSIA,24,ORANG,2019
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TETANUS NEONATORUM,0,ORANG,2019
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SEPSIS,3,ORANG,2019
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KELAINAN BAWAAN,17,ORANG,2019
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAIN-LAIN,43,ORANG,2019
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BBLR,22,ORANG,2019
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ASFIKSIA,25,ORANG,2019
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TETANUS NEONATORUM,0,ORANG,2019
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SEPSIS,9,ORANG,2019
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KELAINAN BAWAAN,6,ORANG,2019
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAIN-LAIN,4,ORANG,2019
19,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BBLR,43,ORANG,2019
20,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ASFIKSIA,36,ORANG,2019
21,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TETANUS NEONATORUM,0,ORANG,2019
22,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SEPSIS,1,ORANG,2019
23,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KELAINAN BAWAAN,13,ORANG,2019
24,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAIN-LAIN,97,ORANG,2019
25,32,JAWA BARAT,3205,KABUPATEN GARUT,BBLR,106,ORANG,2019
26,32,JAWA BARAT,3205,KABUPATEN GARUT,ASFIKSIA,69,ORANG,2019
27,32,JAWA BARAT,3205,KABUPATEN GARUT,TETANUS NEONATORUM,0,ORANG,2019
28,32,JAWA BARAT,3205,KABUPATEN GARUT,SEPSIS,4,ORANG,2019
29,32,JAWA BARAT,3205,KABUPATEN GARUT,KELAINAN BAWAAN,20,ORANG,2019
30,32,JAWA BARAT,3205,KABUPATEN GARUT,LAIN-LAIN,37,ORANG,2019
31,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BBLR,58,ORANG,2019
32,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ASFIKSIA,48,ORANG,2019
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TETANUS NEONATORUM,0,ORANG,2019
34,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SEPSIS,3,ORANG,2019
35,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KELAINAN BAWAAN,12,ORANG,2019
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAIN-LAIN,18,ORANG,2019
37,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BBLR,25,ORANG,2019
38,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ASFIKSIA,26,ORANG,2019
39,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TETANUS NEONATORUM,0,ORANG,2019
40,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SEPSIS,5,ORANG,2019
41,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KELAINAN BAWAAN,8,ORANG,2019
42,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAIN-LAIN,11,ORANG,2019
43,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BBLR,23,ORANG,2019
44,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ASFIKSIA,8,ORANG,2019
45,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TETANUS NEONATORUM,0,ORANG,2019
