id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_bayi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1633,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2033,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1143,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1976,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,1107,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1161,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,797,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1146,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1608,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,833,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,555,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1081,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,604,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,454,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1105,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,443,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,723,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,192,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,243,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,297,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,925,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,196,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,273,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,385,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,333,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,369,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,129,ORANG,2019
