id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_bayi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,94970,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,38779,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,34031,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,69176,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,41060,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12820,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13645,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15065,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,44183,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,19012,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14983,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,28561,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,26663,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15318,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,32681,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,51765,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,27491,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5151,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,16174,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,5013,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,31940,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,4426,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,45124,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,38979,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,9374,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10293,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,2803,ORANG,2019
