id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_imd,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,81.43,PERSEN,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,93.57,PERSEN,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,79.69,PERSEN,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,93.87,PERSEN,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,91.49,PERSEN,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,44.53,PERSEN,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,74.76,PERSEN,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,78.24,PERSEN,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,91.53,PERSEN,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,93.03,PERSEN,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,79.64,PERSEN,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,85.84,PERSEN,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,83.54,PERSEN,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,79.69,PERSEN,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,79.83,PERSEN,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,54.18,PERSEN,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,93.27,PERSEN,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,91.28,PERSEN,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,83.98,PERSEN,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,95.25,PERSEN,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,89.41,PERSEN,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,80.6,PERSEN,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,84.88,PERSEN,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,88.88,PERSEN,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,86.76,PERSEN,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,87.9,PERSEN,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,92.48,PERSEN,2019
