id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_bayi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,57663,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,41442,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,27092,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,47837,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,50868,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,36489,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18251,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,17619,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,56019,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20491,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,13817,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12829,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,24585,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13278,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,13871,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,42815,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,23433,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5658,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,19493,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,5263,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,31975,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,4939,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,26106,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,20915,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,4119,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8447,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,2901,ORANG,2019
