id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_kasus,jenis_kelamin,jumlah_penderita,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,,ORANG,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,1.0,ORANG,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,3.0,ORANG,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,KASUS KRONIS PINDAH,LAKI-LAKI,0.0,ORANG,2019
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,KASUS KRONIS PINDAH,PEREMPUAN,0.0,ORANG,2019
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,KASUS KRONIS MENINGGAL,LAKI-LAKI,0.0,ORANG,2019
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,KASUS KRONIS MENINGGAL,PEREMPUAN,0.0,ORANG,2019
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,48.0,ORANG,2019
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,60.0,ORANG,2019
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,0.0,ORANG,2019
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,1.0,ORANG,2019
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KASUS KRONIS PINDAH,LAKI-LAKI,0.0,ORANG,2019
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KASUS KRONIS PINDAH,PEREMPUAN,0.0,ORANG,2019
15,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KASUS KRONIS MENINGGAL,LAKI-LAKI,0.0,ORANG,2019
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KASUS KRONIS MENINGGAL,PEREMPUAN,0.0,ORANG,2019
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,0.0,ORANG,2019
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,0.0,ORANG,2019
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,0.0,ORANG,2019
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,0.0,ORANG,2019
21,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KASUS KRONIS PINDAH,LAKI-LAKI,0.0,ORANG,2019
22,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KASUS KRONIS PINDAH,PEREMPUAN,0.0,ORANG,2019
23,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KASUS KRONIS MENINGGAL,LAKI-LAKI,0.0,ORANG,2019
24,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KASUS KRONIS MENINGGAL,PEREMPUAN,0.0,ORANG,2019
25,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,0.0,ORANG,2019
26,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,0.0,ORANG,2019
27,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,0.0,ORANG,2019
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,0.0,ORANG,2019
29,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KASUS KRONIS PINDAH,LAKI-LAKI,0.0,ORANG,2019
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KASUS KRONIS PINDAH,PEREMPUAN,0.0,ORANG,2019
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KASUS KRONIS MENINGGAL,LAKI-LAKI,0.0,ORANG,2019
32,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KASUS KRONIS MENINGGAL,PEREMPUAN,0.0,ORANG,2019
33,32,JAWA BARAT,3205,KABUPATEN GARUT,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,,ORANG,2019
34,32,JAWA BARAT,3205,KABUPATEN GARUT,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,,ORANG,2019
35,32,JAWA BARAT,3205,KABUPATEN GARUT,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,,ORANG,2019
