id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kontrasepsi,persentase_peserta_kb,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KONDOM,1.2,PERSEN,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SUNTIK,66.8,PERSEN,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,PIL,21.4,PERSEN,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,AKDR,4.8,PERSEN,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,MOP,0.2,PERSEN,2019
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,MOW,1.7,PERSEN,2019
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,IMPLAN,3.9,PERSEN,2019
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KONDOM,1.6,PERSEN,2019
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SUNTIK,45.0,PERSEN,2019
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PIL,30.4,PERSEN,2019
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,AKDR,7.2,PERSEN,2019
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MOP,0.6,PERSEN,2019
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MOW,1.8,PERSEN,2019
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,IMPLAN,13.5,PERSEN,2019
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KONDOM,1.0,PERSEN,2019
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SUNTIK,53.9,PERSEN,2019
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PIL,27.5,PERSEN,2019
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AKDR,7.7,PERSEN,2019
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MOP,0.2,PERSEN,2019
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MOW,1.0,PERSEN,2019
21,32,JAWA BARAT,3203,KABUPATEN CIANJUR,IMPLAN,8.7,PERSEN,2019
22,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KONDOM,1.3,PERSEN,2019
23,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SUNTIK,54.4,PERSEN,2019
24,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PIL,19.2,PERSEN,2019
25,32,JAWA BARAT,3204,KABUPATEN BANDUNG,AKDR,16.3,PERSEN,2019
26,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MOP,0.7,PERSEN,2019
27,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MOW,3.2,PERSEN,2019
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,IMPLAN,4.9,PERSEN,2019
29,32,JAWA BARAT,3205,KABUPATEN GARUT,KONDOM,5.5,PERSEN,2019
30,32,JAWA BARAT,3205,KABUPATEN GARUT,SUNTIK,49.0,PERSEN,2019
31,32,JAWA BARAT,3205,KABUPATEN GARUT,PIL,16.3,PERSEN,2019
32,32,JAWA BARAT,3205,KABUPATEN GARUT,AKDR,15.5,PERSEN,2019
33,32,JAWA BARAT,3205,KABUPATEN GARUT,MOP,1.2,PERSEN,2019
34,32,JAWA BARAT,3205,KABUPATEN GARUT,MOW,1.9,PERSEN,2019
35,32,JAWA BARAT,3205,KABUPATEN GARUT,IMPLAN,10.6,PERSEN,2019
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KONDOM,0.8,PERSEN,2019
37,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SUNTIK,63.3,PERSEN,2019
38,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PIL,17.3,PERSEN,2019
39,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AKDR,9.5,PERSEN,2019
40,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MOP,0.3,PERSEN,2019
41,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MOW,2.0,PERSEN,2019
42,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,IMPLAN,6.8,PERSEN,2019
43,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KONDOM,1.4,PERSEN,2019
44,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SUNTIK,54.9,PERSEN,2019
45,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PIL,22.4,PERSEN,2019
46,32,JAWA BARAT,3207,KABUPATEN CIAMIS,AKDR,10.4,PERSEN,2019
47,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MOP,0.6,PERSEN,2019
48,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MOW,4.0,PERSEN,2019
49,32,JAWA BARAT,3207,KABUPATEN CIAMIS,IMPLAN,6.3,PERSEN,2019
50,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KONDOM,0.7,PERSEN,2019
51,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SUNTIK,10.1,PERSEN,2019
52,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PIL,63.3,PERSEN,2019
53,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AKDR,10.1,PERSEN,2019
54,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MOP,0.2,PERSEN,2019
55,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MOW,5.9,PERSEN,2019
56,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,IMPLAN,9.8,PERSEN,2019
57,32,JAWA BARAT,3209,KABUPATEN CIREBON,KONDOM,2.6,PERSEN,2019
58,32,JAWA BARAT,3209,KABUPATEN CIREBON,SUNTIK,62.5,PERSEN,2019
59,32,JAWA BARAT,3209,KABUPATEN CIREBON,PIL,15.5,PERSEN,2019
60,32,JAWA BARAT,3209,KABUPATEN CIREBON,AKDR,6.6,PERSEN,2019
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,MOP,0.6,PERSEN,2019
62,32,JAWA BARAT,3209,KABUPATEN CIREBON,MOW,4.7,PERSEN,2019
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,IMPLAN,7.4,PERSEN,2019
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KONDOM,1.1,PERSEN,2019
65,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SUNTIK,68.3,PERSEN,2019
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PIL,13.8,PERSEN,2019
67,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AKDR,4.7,PERSEN,2019
68,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MOP,0.9,PERSEN,2019
69,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MOW,4.9,PERSEN,2019
70,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,IMPLAN,6.3,PERSEN,2019
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KONDOM,0.9,PERSEN,2019
72,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SUNTIK,62.6,PERSEN,2019
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PIL,15.6,PERSEN,2019
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AKDR,9.5,PERSEN,2019
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MOP,0.2,PERSEN,2019
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MOW,4.0,PERSEN,2019
77,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,IMPLAN,7.1,PERSEN,2019
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KONDOM,1.7,PERSEN,2019
79,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SUNTIK,56.4,PERSEN,2019
80,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PIL,27.3,PERSEN,2019
81,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AKDR,3.8,PERSEN,2019
82,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MOP,0.6,PERSEN,2019
83,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MOW,2.3,PERSEN,2019
