id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kunjungan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,226872,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,70786,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,30977,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,140853,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,91361,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,48802,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,23744,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,36609,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,134362,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,40554,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,43836,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,64828,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,55376,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,41165,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,40742,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,73017,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,35347,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2752,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,122128,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,12330,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,78222,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,30471,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,61091,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,59363,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,20644,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,24743,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,6229,ORANG,2019
