id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,173460,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,39789,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,24688,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,97516,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,70662,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,44530,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,21685,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,29794,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,100206,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,29193,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,43836,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,37501,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,35490,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,23479,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,28854,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,53600,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,30667,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1848,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,113329,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,12334,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,69638,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,19831,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,47743,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,29018,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,9981,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,19061,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,6188,ORANG,2019
