id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,108831,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,113075,ORANG,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,38150,ORANG,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,34434,ORANG,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,23035,ORANG,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,21653,ORANG,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,60476,ORANG,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,59939,ORANG,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,40331,ORANG,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,40299,ORANG,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,28511,ORANG,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,28660,ORANG,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,9635,ORANG,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,8866,ORANG,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,19235,ORANG,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,18238,ORANG,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,68042,ORANG,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,69627,ORANG,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,17573,ORANG,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,16968,ORANG,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,19740,ORANG,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,19935,ORANG,2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,35438,ORANG,2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,34358,ORANG,2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,25245,ORANG,2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,25225,ORANG,2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,19225,ORANG,2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,18657,ORANG,2019
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,29975,ORANG,2019
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,29848,ORANG,2019
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,35508,ORANG,2019
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,34126,ORANG,2019
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,21385,ORANG,2019
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,20516,ORANG,2019
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,4649,ORANG,2019
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,4303,ORANG,2019
37,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,22776,ORANG,2019
38,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,22886,ORANG,2019
39,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,5429,ORANG,2019
40,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,5472,ORANG,2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,35246,ORANG,2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,34391,ORANG,2019
43,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,15372,ORANG,2019
44,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,13759,ORANG,2019
45,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,30780,ORANG,2019
46,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,27764,ORANG,2019
47,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,29794,ORANG,2019
48,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,28333,ORANG,2019
49,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,7166,ORANG,2019
50,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,6735,ORANG,2019
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,11610,ORANG,2019
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,11369,ORANG,2019
53,32,JAWA BARAT,3279,KOTA BANJAR ,LAKI-LAKI,2893,ORANG,2019
54,32,JAWA BARAT,3279,KOTA BANJAR ,PEREMPUAN,2534,ORANG,2019
