id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,296,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,179,ORANG,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,79,ORANG,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,33,ORANG,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,0,ORANG,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,0,ORANG,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,137,ORANG,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,42,ORANG,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,0,ORANG,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,0,ORANG,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,52,ORANG,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,25,ORANG,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,64,ORANG,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,31,ORANG,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,65,ORANG,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,26,ORANG,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,171,ORANG,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,86,ORANG,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,70,ORANG,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,27,ORANG,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,66,ORANG,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,38,ORANG,2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,81,ORANG,2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,70,ORANG,2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,223,ORANG,2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,116,ORANG,2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,147,ORANG,2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,50,ORANG,2019
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,162,ORANG,2019
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,93,ORANG,2019
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,146,ORANG,2019
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,76,ORANG,2019
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,31,ORANG,2019
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,5,ORANG,2019
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,18,ORANG,2019
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,8,ORANG,2019
37,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,331,ORANG,2019
38,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,112,ORANG,2019
39,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,31,ORANG,2019
40,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,26,ORANG,2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,282,ORANG,2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,75,ORANG,2019
43,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,138,ORANG,2019
44,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,51,ORANG,2019
45,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,250,ORANG,2019
46,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,85,ORANG,2019
47,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,188,ORANG,2019
48,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,59,ORANG,2019
49,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,38,ORANG,2019
50,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,6,ORANG,2019
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,82,ORANG,2019
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,23,ORANG,2019
53,32,JAWA BARAT,3279,KOTA BANJAR ,LAKI-LAKI,38,ORANG,2019
54,32,JAWA BARAT,3279,KOTA BANJAR ,PEREMPUAN,9,ORANG,2019
