id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jumlah_kematian,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,< 20 TAHUN,0.0,JIWA,2012
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,20-34 TAHUN,6.0,JIWA,2012
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,>=35 TAHUN,5.0,JIWA,2012
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,< 20 TAHUN,6.0,JIWA,2012
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20-34 TAHUN,17.0,JIWA,2012
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,>=35 TAHUN,0.0,JIWA,2012
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,< 20 TAHUN,,JIWA,2012
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,20-34 TAHUN,,JIWA,2012
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,>=35 TAHUN,,JIWA,2012
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,< 20 TAHUN,0.0,JIWA,2012
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20-34 TAHUN,4.0,JIWA,2012
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,>=35 TAHUN,2.0,JIWA,2012
13,32,JAWA BARAT,3205,KABUPATEN GARUT,< 20 TAHUN,0.0,JIWA,2012
14,32,JAWA BARAT,3205,KABUPATEN GARUT,20-34 TAHUN,7.0,JIWA,2012
15,32,JAWA BARAT,3205,KABUPATEN GARUT,>=35 TAHUN,2.0,JIWA,2012
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,< 20 TAHUN,4.0,JIWA,2012
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20-34 TAHUN,8.0,JIWA,2012
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,>=35 TAHUN,5.0,JIWA,2012
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,< 20 TAHUN,,JIWA,2012
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20-34 TAHUN,,JIWA,2012
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,>=35 TAHUN,,JIWA,2012
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,< 20 TAHUN,0.0,JIWA,2012
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20-34 TAHUN,3.0,JIWA,2012
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,>=35 TAHUN,2.0,JIWA,2012
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,< 20 TAHUN,3.0,JIWA,2012
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,20-34 TAHUN,7.0,JIWA,2012
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,>=35 TAHUN,6.0,JIWA,2012
28,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,< 20 TAHUN,3.0,JIWA,2012
29,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20-34 TAHUN,2.0,JIWA,2012
30,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,>=35 TAHUN,2.0,JIWA,2012
31,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,< 20 TAHUN,1.0,JIWA,2012
32,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20-34 TAHUN,1.0,JIWA,2012
33,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,>=35 TAHUN,2.0,JIWA,2012
34,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,< 20 TAHUN,,JIWA,2012
35,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,20-34 TAHUN,,JIWA,2012
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,>=35 TAHUN,,JIWA,2012
37,32,JAWA BARAT,3213,KABUPATEN SUBANG,< 20 TAHUN,0.0,JIWA,2012
38,32,JAWA BARAT,3213,KABUPATEN SUBANG,20-34 TAHUN,0.0,JIWA,2012
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,>=35 TAHUN,1.0,JIWA,2012
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,< 20 TAHUN,1.0,JIWA,2012
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,20-34 TAHUN,4.0,JIWA,2012
42,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,>=35 TAHUN,1.0,JIWA,2012
43,32,JAWA BARAT,3215,KABUPATEN KARAWANG,< 20 TAHUN,2.0,JIWA,2012
44,32,JAWA BARAT,3215,KABUPATEN KARAWANG,20-34 TAHUN,6.0,JIWA,2012
45,32,JAWA BARAT,3215,KABUPATEN KARAWANG,>=35 TAHUN,8.0,JIWA,2012
46,32,JAWA BARAT,3216,KABUPATEN BEKASI,< 20 TAHUN,2.0,JIWA,2012
