id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,113098,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,133729,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,74227,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,54064,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,62799,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20188,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,28812,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,22905,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,38971,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,34650,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,21865,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,21800,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,42735,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,22261,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,59315,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,31379,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20738,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7561,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,24377,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,12971,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,61711,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,16092,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,25207,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,25621,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,10993,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,14081,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,7224,ORANG,2019
