id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,48589,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,35307,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,21257,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,25114,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,25711,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8763,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,10627,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9579,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,20893,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11818,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8215,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10859,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,15731,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12060,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,23828,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,14503,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9406,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2371,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,9269,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,5616,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,21412,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,6717,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,8368,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,7116,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,3852,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5052,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,2717,ORANG,2019
