id,jumlah_kasus_diare_pada_balita_yang_mendapat_oralit_berdasarkan,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,1,32,JAWA BARAT,3201,KABUPATEN BOGOR,41750,ORANG,2019
2,2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,25015,ORANG,2019
3,3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,21455,ORANG,2019
4,4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,25391,ORANG,2019
5,5,32,JAWA BARAT,3205,KABUPATEN GARUT,19298,ORANG,2019
6,6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6090,ORANG,2019
7,7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9166,ORANG,2019
8,8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9191,ORANG,2019
9,9,32,JAWA BARAT,3209,KABUPATEN CIREBON,16714,ORANG,2019
10,10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10657,ORANG,2019
11,11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5918,ORANG,2019
12,12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12400,ORANG,2019
13,13,32,JAWA BARAT,3213,KABUPATEN SUBANG,8579,ORANG,2019
14,14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8790,ORANG,2019
15,15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,22024,ORANG,2019
16,16,32,JAWA BARAT,3216,KABUPATEN BEKASI,12011,ORANG,2019
17,17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8797,ORANG,2019
18,18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1597,ORANG,2019
19,19,32,JAWA BARAT,3271,KOTA BOGOR,11598,ORANG,2019
20,20,32,JAWA BARAT,3272,KOTA SUKABUMI,5517,ORANG,2019
21,21,32,JAWA BARAT,3273,KOTA BANDUNG,20340,ORANG,2019
22,22,32,JAWA BARAT,3274,KOTA CIREBON,5940,ORANG,2019
23,23,32,JAWA BARAT,3275,KOTA BEKASI,6891,ORANG,2019
24,24,32,JAWA BARAT,3276,KOTA DEPOK,6680,ORANG,2019
25,25,32,JAWA BARAT,3277,KOTA CIMAHI,3237,ORANG,2019
26,26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4169,ORANG,2019
27,27,32,JAWA BARAT,3279,KOTA BANJAR,1380,ORANG,2019
