id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,86676,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,54716,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,44770,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,51480,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,46810,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,16011,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,19325,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,21859,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,30430,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20882,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14899,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,22799,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,31466,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,16782,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,45306,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,24452,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,18610,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4869,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,25667,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,15175,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,57465,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,14859,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,19901,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,23812,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,7864,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11045,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,3348,ORANG,2019
