id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,382,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,29,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,23,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,16,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,19,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,14,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,108,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,204,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,24,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,209,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,126,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,39,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,264,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,342,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,20,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,8,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,14,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,176,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,56,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2019
