id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_penyakit,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,DIFTERI,10,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PERTUSIS,5,ORANG,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,TETANUS NEONATORUM,0,ORANG,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,HEPATITIS B,0,ORANG,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,SUSPEK CAMPAK,5,ORANG,2019
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DIFTERI,28,ORANG,2019
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PERTUSIS,0,ORANG,2019
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TETANUS NEONATORUM,0,ORANG,2019
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HEPATITIS B,0,ORANG,2019
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SUSPEK CAMPAK,0,ORANG,2019
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DIFTERI,0,ORANG,2019
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PERTUSIS,0,ORANG,2019
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TETANUS NEONATORUM,0,ORANG,2019
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HEPATITIS B,0,ORANG,2019
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SUSPEK CAMPAK,0,ORANG,2019
16,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DIFTERI,7,ORANG,2019
17,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PERTUSIS,0,ORANG,2019
18,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TETANUS NEONATORUM,0,ORANG,2019
19,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HEPATITIS B,0,ORANG,2019
20,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SUSPEK CAMPAK,0,ORANG,2019
21,32,JAWA BARAT,3205,KABUPATEN GARUT,DIFTERI,0,ORANG,2019
22,32,JAWA BARAT,3205,KABUPATEN GARUT,PERTUSIS,0,ORANG,2019
23,32,JAWA BARAT,3205,KABUPATEN GARUT,TETANUS NEONATORUM,0,ORANG,2019
24,32,JAWA BARAT,3205,KABUPATEN GARUT,HEPATITIS B,0,ORANG,2019
25,32,JAWA BARAT,3205,KABUPATEN GARUT,SUSPEK CAMPAK,0,ORANG,2019
26,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DIFTERI,1,ORANG,2019
27,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PERTUSIS,0,ORANG,2019
28,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TETANUS NEONATORUM,0,ORANG,2019
29,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEPATITIS B,0,ORANG,2019
30,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SUSPEK CAMPAK,11,ORANG,2019
31,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DIFTERI,0,ORANG,2019
32,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PERTUSIS,0,ORANG,2019
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TETANUS NEONATORUM,0,ORANG,2019
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEPATITIS B,0,ORANG,2019
35,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SUSPEK CAMPAK,0,ORANG,2019
36,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DIFTERI,3,ORANG,2019
37,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PERTUSIS,4,ORANG,2019
38,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TETANUS NEONATORUM,0,ORANG,2019
39,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEPATITIS B,83,ORANG,2019
40,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SUSPEK CAMPAK,15,ORANG,2019
41,32,JAWA BARAT,3209,KABUPATEN CIREBON,DIFTERI,0,ORANG,2019
42,32,JAWA BARAT,3209,KABUPATEN CIREBON,PERTUSIS,1,ORANG,2019
43,32,JAWA BARAT,3209,KABUPATEN CIREBON,TETANUS NEONATORUM,0,ORANG,2019
44,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEPATITIS B,0,ORANG,2019
45,32,JAWA BARAT,3209,KABUPATEN CIREBON,SUSPEK CAMPAK,0,ORANG,2019
46,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIFTERI,0,ORANG,2019
47,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PERTUSIS,0,ORANG,2019
48,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TETANUS NEONATORUM,0,ORANG,2019
49,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEPATITIS B,0,ORANG,2019
50,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SUSPEK CAMPAK,0,ORANG,2019
51,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIFTERI,0,ORANG,2019
52,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PERTUSIS,0,ORANG,2019
53,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TETANUS NEONATORUM,0,ORANG,2019
54,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEPATITIS B,0,ORANG,2019
55,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SUSPEK CAMPAK,0,ORANG,2019
56,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIFTERI,0,ORANG,2019
57,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PERTUSIS,0,ORANG,2019
58,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TETANUS NEONATORUM,0,ORANG,2019
59,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEPATITIS B,0,ORANG,2019
60,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SUSPEK CAMPAK,0,ORANG,2019
61,32,JAWA BARAT,3213,KABUPATEN SUBANG,DIFTERI,0,ORANG,2019
62,32,JAWA BARAT,3213,KABUPATEN SUBANG,PERTUSIS,0,ORANG,2019
63,32,JAWA BARAT,3213,KABUPATEN SUBANG,TETANUS NEONATORUM,0,ORANG,2019
64,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEPATITIS B,0,ORANG,2019
65,32,JAWA BARAT,3213,KABUPATEN SUBANG,SUSPEK CAMPAK,0,ORANG,2019
66,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DIFTERI,2,ORANG,2019
